Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
2014-10-01,"2,892","9,786",4.44,0,"1,128",200,82,30,"1,358"
2014-10-02,"3,223","15,208",7.05,0,"1,115",151,101,73,"1,707"
2014-10-03,"3,551","18,840",8.92,0,"1,041",175,143,81,"2,124"
2014-10-04,"3,248","15,222",7.26,0,"1,084",174,124,58,"1,808"
2014-10-05,"3,049","13,553",6.3,0,"1,139",134,110,57,"1,546"
2014-10-06,"3,191","16,356",7.68,0,"1,143",99,122,76,"1,704"
2014-10-07,"1,825",27,0.01,0,"1,438",2,0,0,7
2014-10-08,"2,858","9,625",4.36,0,"1,130",204,71,35,"1,348"
2014-10-09,"3,551","20,054",9.54,0,"1,073",153,116,98,"2,137"
2014-10-10,"3,765","21,873",10.42,0,"1,007",187,152,94,"2,408"
2014-10-11,"3,247","16,521",7.81,0,"1,145",135,61,99,"1,748"
2014-10-12,"3,469","20,244",9.58,0,"1,110",105,110,115,"2,032"
2014-10-13,"3,759","22,914",10.49,0,976,181,176,107,"2,467"
2014-10-14,"2,617","8,779",4.07,0,"1,264",86,40,50,963
2014-10-15,"1,805",0,0,0,"1,440",0,0,0,0
2014-10-16,"1,809",18,0.01,0,"1,440",0,0,0,0
2014-10-17,"1,819","1,766",0.8,0,"1,435",3,0,2,29
2014-10-18,"1,796",0,0,0,"1,440",0,0,0,0
2014-10-19,"1,799",0,0,0,"1,440",0,0,0,0
2014-10-20,"1,792",0,0,0,"1,440",0,0,0,0
2014-10-21,"2,298","15,852",7.21,0,"1,397",20,14,9,217
2014-10-22,"3,188","14,489",6.71,0,"1,386",31,15,8,248
2014-10-23,"3,340","18,032",8.5,0,"1,395",23,13,9,232
2014-10-24,"3,331","18,037",8.64,0,"1,393",16,19,12,281
2014-10-25,"1,946","1,415",0.69,0,"1,403",21,10,6,182
2014-10-26,"1,798",61,0.03,0,"1,436",4,0,0,14
2014-10-27,"1,899","1,417",0.66,0,"1,420",3,9,8,129
2014-10-28,"1,932","1,326",0.6,0,"1,405",20,8,7,163
2014-10-29,"1,933","1,222",0.55,0,"1,399",29,8,4,172
2014-10-30,"1,783",0,0,0,"1,440",0,0,0,0
2014-10-31,"1,783",0,0,0,"1,440",0,0,0,0
