Body
Date,Weight,BMI,Fat
2014-02-01,187.42,27.67,0
2014-02-02,187.53,27.68,0
2014-02-03,187.63,27.7,0
2014-02-04,187.74,27.71,0
2014-02-05,187.85,27.73,0
2014-02-06,187.95,27.74,0
2014-02-07,188.06,27.76,0
2014-02-08,188.16,27.77,0
2014-02-09,188.27,27.79,0
2014-02-10,188.38,27.81,0
2014-02-11,188.48,27.82,0
2014-02-12,188.59,27.84,0
2014-02-13,188.69,27.85,0
2014-02-14,188.8,27.87,0
2014-02-15,188.9,27.88,0
2014-02-16,189.01,27.9,0
2014-02-17,189.12,27.92,0
2014-02-18,189.22,27.93,0
2014-02-19,189.33,27.95,0
2014-02-20,189.43,27.96,0
2014-02-21,189.54,27.98,0
2014-02-22,189.65,27.99,0
2014-02-23,189.75,28.01,0
2014-02-24,189.99,28.04,0
2014-02-25,189.99,28.04,0
2014-02-26,189.99,28.04,0
2014-02-27,189.99,28.04,0
2014-02-28,189.99,28.04,0

Activities
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
2014-02-01,"1,861",0,0,0,"1,440",0,0,0,0
2014-02-02,"1,861",0,0,0,"1,440",0,0,0,0
2014-02-03,"1,862",0,0,0,"1,440",0,0,0,0
2014-02-04,"1,860",0,0,0,"1,440",0,0,0,0
2014-02-05,"1,860",0,0,0,"1,440",0,0,0,0
2014-02-06,"1,861",0,0,0,"1,440",0,0,0,0
2014-02-07,"1,861",0,0,0,"1,440",0,0,0,0
2014-02-08,"1,862",0,0,0,"1,440",0,0,0,0
2014-02-09,"1,860",0,0,0,"1,440",0,0,0,0
2014-02-10,"1,860",0,0,0,"1,440",0,0,0,0
2014-02-11,"1,861",0,0,0,"1,440",0,0,0,0
2014-02-12,"1,861",0,0,0,"1,440",0,0,0,0
2014-02-13,"1,862",0,0,0,"1,440",0,0,0,0
2014-02-14,"1,860",0,0,0,"1,440",0,0,0,0
2014-02-15,"1,860",0,0,0,"1,440",0,0,0,0
2014-02-16,"1,861",0,0,0,"1,440",0,0,0,0
2014-02-17,"1,861",0,0,0,"1,440",0,0,0,0
2014-02-18,"1,862",0,0,0,"1,440",0,0,0,0
2014-02-19,"1,860",0,0,0,"1,440",0,0,0,0
2014-02-20,"1,860",0,0,0,"1,440",0,0,0,0
2014-02-21,"1,861",0,0,0,"1,440",0,0,0,0
2014-02-22,"1,861",0,0,0,"1,440",0,0,0,0
2014-02-23,"1,862",0,0,0,"1,440",0,0,0,0
2014-02-24,"2,254","3,581",1.73,0,"1,356",45,23,16,443
2014-02-25,"3,136","12,085",5.59,0,633,191,94,45,"1,590"
2014-02-26,"3,356","15,157",6.91,0,613,188,145,56,"1,896"
2014-02-27,"3,139","13,332",6.2,0,653,118,56,81,"1,485"
2014-02-28,"2,963","8,389",3.82,0,627,260,96,10,"1,453"

