Body
Date,Weight,BMI,Fat
2014-05-01,183.86,27.14,0
2014-05-02,183.75,27.12,0
2014-05-03,183.65,27.11,0
2014-05-04,183.54,27.09,0
2014-05-05,183.44,27.08,0
2014-05-06,183.33,27.06,0
2014-05-07,183.22,27.05,0
2014-05-08,183.12,27.03,0
2014-05-09,183.01,27.01,0
2014-05-10,182.91,27,0
2014-05-11,182.8,26.98,0
2014-05-12,182.69,26.97,0
2014-05-13,182.59,26.95,0
2014-05-14,182.48,26.94,0
2014-05-15,182.38,26.92,0
2014-05-16,182.27,26.9,0
2014-05-17,182.17,26.89,0
2014-05-18,182.06,26.87,0
2014-05-19,181.95,26.86,0
2014-05-20,181.85,26.84,0
2014-05-21,181.74,26.83,0
2014-05-22,181.64,26.81,0
2014-05-23,181.53,26.8,0
2014-05-24,181.42,26.78,0
2014-05-25,181.32,26.76,0
2014-05-26,181.21,26.75,0
2014-05-27,181.11,26.73,0
2014-05-28,181,26.72,0
2014-05-29,180.9,26.7,0
2014-05-30,180.79,26.69,0
2014-05-31,180.68,26.67,0

Activities
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
2014-05-01,"1,821",0,0,0,"1,440",0,0,0,0
2014-05-02,"1,821",0,0,0,"1,440",0,0,0,0
2014-05-03,"1,821",0,0,0,"1,440",0,0,0,0
2014-05-04,"1,821",0,0,0,"1,440",0,0,0,0
2014-05-05,"1,821",0,0,0,"1,440",0,0,0,0
2014-05-06,"1,821",0,0,0,"1,440",0,0,0,0
2014-05-07,"1,821",0,0,0,"1,440",0,0,0,0
2014-05-08,"1,821",0,0,0,"1,440",0,0,0,0
2014-05-09,"1,821",0,0,0,"1,440",0,0,0,0
2014-05-10,"1,821",0,0,0,"1,440",0,0,0,0
2014-05-11,"1,821",0,0,0,"1,440",0,0,0,0
2014-05-12,"1,821",0,0,0,"1,440",0,0,0,0
2014-05-13,"1,821",0,0,0,"1,440",0,0,0,0
2014-05-14,"1,821",0,0,0,"1,440",0,0,0,0
2014-05-15,"1,821",0,0,0,"1,440",0,0,0,0
2014-05-16,"1,820",0,0,0,"1,440",0,0,0,0
2014-05-17,"1,821",0,0,0,"1,440",0,0,0,0
2014-05-18,"1,821",0,0,0,"1,440",0,0,0,0
2014-05-19,"1,821",0,0,0,"1,440",0,0,0,0
2014-05-20,"1,820",0,0,0,"1,440",0,0,0,0
2014-05-21,"1,821",0,0,0,"1,440",0,0,0,0
2014-05-22,"2,143","2,462",1.11,0,"1,339",65,33,3,396
2014-05-23,"3,154","12,448",5.64,0,952,216,139,28,"1,673"
2014-05-24,"2,717","9,830",4.44,0,"1,204",82,148,6,"1,109"
2014-05-25,"2,754","8,344",3.77,0,"1,163",152,110,15,"1,168"
2014-05-26,"2,447","5,879",2.66,0,"1,269",95,60,16,764
2014-05-27,"1,965","1,415",0.64,0,"1,405",19,11,5,169
2014-05-28,"1,820",0,0,0,"1,440",0,0,0,0
2014-05-29,"1,821",0,0,0,"1,440",0,0,0,0
2014-05-30,"1,821",0,0,0,"1,440",0,0,0,0
2014-05-31,"1,821",0,0,0,"1,440",0,0,0,0

