Body
Date,Weight,BMI,Fat
2014-08-01,182.39,26.92,0
2014-08-02,182.34,26.91,0
2014-08-03,182.29,26.91,0
2014-08-04,182.24,26.9,0
2014-08-05,182.19,26.89,0
2014-08-06,182.14,26.89,0
2014-08-07,182.09,26.88,0
2014-08-08,182.04,26.87,0
2014-08-09,181.98,26.86,0
2014-08-10,181.93,26.86,0
2014-08-11,181.88,26.85,0
2014-08-12,181.83,26.84,0
2014-08-13,181.78,26.83,0
2014-08-14,181.73,26.83,0
2014-08-15,181.68,26.82,0
2014-08-16,181.63,26.81,0
2014-08-17,181.58,26.8,0
2014-08-18,181.53,26.8,0
2014-08-19,181.48,26.79,0
2014-08-20,181.43,26.78,0
2014-08-21,181.38,26.77,0
2014-08-22,181.33,26.77,0
2014-08-23,181.27,26.76,0
2014-08-24,181.22,26.75,0
2014-08-25,181.17,26.74,0
2014-08-26,181.12,26.74,0
2014-08-27,181.07,26.73,0
2014-08-28,181.02,26.72,0
2014-08-29,180.97,26.71,0
2014-08-30,180.92,26.71,0
2014-08-31,180.87,26.7,0

Activities
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
2014-08-01,"1,821",0,0,0,"1,440",0,0,0,0
2014-08-02,"1,821",0,0,0,"1,440",0,0,0,0
2014-08-03,"1,820",0,0,0,"1,440",0,0,0,0
2014-08-04,"1,821",0,0,0,"1,440",0,0,0,0
2014-08-05,"1,821",0,0,0,"1,440",0,0,0,0
2014-08-06,"1,821",0,0,0,"1,440",0,0,0,0
2014-08-07,"1,821",0,0,0,"1,440",0,0,0,0
2014-08-08,"1,820",0,0,0,"1,440",0,0,0,0
2014-08-09,"1,820",0,0,0,"1,440",0,0,0,0
2014-08-10,"1,821",0,0,0,"1,440",0,0,0,0
2014-08-11,"1,821",0,0,0,"1,440",0,0,0,0
2014-08-12,"1,821",0,0,0,"1,440",0,0,0,0
2014-08-13,"1,821",0,0,0,"1,440",0,0,0,0
2014-08-14,"1,820",0,0,0,"1,440",0,0,0,0
2014-08-15,"1,820",0,0,0,"1,440",0,0,0,0
2014-08-16,"1,822",0,0,0,"1,440",0,0,0,0
2014-08-17,"1,821",0,0,0,"1,440",0,0,0,0
2014-08-18,"1,821",0,0,0,"1,440",0,0,0,0
2014-08-19,"1,821",0,0,0,"1,440",0,0,0,0
2014-08-20,"1,821",0,0,0,"1,440",0,0,0,0
2014-08-21,"1,820",0,0,0,"1,440",0,0,0,0
2014-08-22,"1,820",0,0,0,"1,440",0,0,0,0
2014-08-23,"1,821",0,0,0,"1,440",0,0,0,0
2014-08-24,"1,821",0,0,0,"1,440",0,0,0,0
2014-08-25,"1,821",0,0,0,"1,440",0,0,0,0
2014-08-26,"1,816",0,0,0,"1,440",0,0,0,0
2014-08-27,"1,816",0,0,0,"1,440",0,0,0,0
2014-08-28,"2,586","7,168",3.24,0,737,114,76,23,944
2014-08-29,"2,659","8,703",3.93,0,"1,231",99,70,40,"1,024"
2014-08-30,"1,817",0,0,0,"1,440",0,0,0,0
2014-08-31,"4,364","34,240",15.47,0,893,59,449,39,"3,155"

