Body
Date,Weight,BMI,Fat
2014-12-01,168.45,24.86,19.826
2014-12-02,168.45,24.86,19.993
2014-12-03,166.62,24.59,20.009
2014-12-04,166,24.5,20.041
2014-12-05,164.92,24.34,19.996
2014-12-06,165.45,24.42,19.82
2014-12-07,162.63,24.01,19.52
2014-12-08,166.8,24.62,18.94
2014-12-09,165.34,24.41,19.749
2014-12-10,165.08,24.37,19.915
2014-12-11,163.42,24.12,20.143
2014-12-12,162.94,24.05,20.247
2014-12-13,162.08,23.92,20.246
2014-12-14,162.32,23.96,19.895
2014-12-15,162.32,23.96,19.631
2014-12-16,163.6,24.15,19.235
2014-12-17,161.62,23.86,19.285
2014-12-18,160.82,23.74,19.042
2014-12-19,161.51,23.84,18.722
2014-12-20,161.09,23.78,18.329
2014-12-21,161.55,23.85,18.562
2014-12-22,162.48,23.98,18.434
2014-12-23,160.54,23.7,18.263
2014-12-24,160.72,23.72,18.263
2014-12-25,160.91,23.75,18.263
2014-12-26,161.1,23.78,18.263
2014-12-27,161.29,23.81,18.263
2014-12-28,161.47,23.83,18.263
2014-12-29,161.66,23.86,18.263
2014-12-30,161.85,23.89,18.263
2014-12-31,162.03,23.92,18.263

Activities
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
2014-12-01,"1,760",0,0,0,"1,440",0,0,0,0
2014-12-02,"1,760",0,0,0,"1,440",0,0,0,0
2014-12-03,"1,752",0,0,0,"1,440",0,0,0,0
2014-12-04,"1,749",0,0,0,"1,440",0,0,0,0
2014-12-05,"1,744",0,0,0,"1,440",0,0,0,0
2014-12-06,"1,747",0,0,0,"1,440",0,0,0,0
2014-12-07,"1,734",0,0,0,"1,440",0,0,0,0
2014-12-08,"1,753",0,0,0,"1,440",0,0,0,0
2014-12-09,"1,746",0,0,0,"1,440",0,0,0,0
2014-12-10,"1,745",0,0,0,"1,440",0,0,0,0
2014-12-11,"1,737",0,0,0,"1,440",0,0,0,0
2014-12-12,"1,735",0,0,0,"1,440",0,0,0,0
2014-12-13,"1,731",0,0,0,"1,440",0,0,0,0
2014-12-14,"1,732",0,0,0,"1,440",0,0,0,0
2014-12-15,"1,732",0,0,0,"1,440",0,0,0,0
2014-12-16,"1,738",0,0,0,"1,440",0,0,0,0
2014-12-17,"1,729",0,0,0,"1,440",0,0,0,0
2014-12-18,"1,726",0,0,0,"1,440",0,0,0,0
2014-12-19,"1,729",0,0,0,"1,440",0,0,0,0
2014-12-20,"1,727",0,0,0,"1,440",0,0,0,0
2014-12-21,"1,729",0,0,0,"1,440",0,0,0,0
2014-12-22,"1,733",0,0,0,"1,440",0,0,0,0
2014-12-23,"1,724",0,0,0,"1,440",0,0,0,0
2014-12-24,"1,728",0,0,0,"1,440",0,0,0,0
2014-12-25,"1,729",0,0,0,"1,440",0,0,0,0
2014-12-26,"1,730",0,0,0,"1,440",0,0,0,0
2014-12-27,"1,730",0,0,0,"1,440",0,0,0,0
2014-12-28,"1,731",0,0,0,"1,440",0,0,0,0
2014-12-29,"1,731",0,0,0,"1,440",0,0,0,0
2014-12-30,"1,731",0,0,0,"1,440",0,0,0,0
2014-12-31,"1,731",0,0,0,"1,440",0,0,0,0

