Body
Date,Weight,BMI,Fat
2015-07-01,158.39,23.38,14.718
2015-07-02,158.24,23.36,14.718
2015-07-03,158.08,23.33,14.718
2015-07-04,157.93,23.31,14.718
2015-07-05,157.77,23.29,14.718
2015-07-06,157.61,23.27,14.718
2015-07-07,157.46,23.24,14.718
2015-07-08,157.3,23.22,14.718
2015-07-09,157.14,23.2,14.718
2015-07-10,159.68,23.57,15.39
2015-07-11,159.29,23.51,15.565
2015-07-12,158.9,23.46,15.741
2015-07-13,156.45,23.09,15.853
2015-07-14,153.99,22.73,15.965
2015-07-15,154.42,22.79,16.061
2015-07-16,154.85,22.86,16.157
2015-07-17,155.28,22.92,16.253
2015-07-18,155.71,22.98,16.349
2015-07-19,156.14,23.05,16.445
2015-07-20,156.57,23.11,16.541
2015-07-21,157,23.17,16.637
2015-07-22,157.43,23.24,16.733
2015-07-23,157.86,23.3,16.829
2015-07-24,158.29,23.36,16.925
2015-07-25,158.72,23.43,17.021
2015-07-26,159.15,23.49,17.125
2015-07-27,158.94,23.46,17.081
2015-07-28,158.74,23.43,17.037
2015-07-29,158.53,23.4,16.993
2015-07-30,158.33,23.37,16.949
2015-07-31,158.12,23.34,16.905

Activities
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
2015-07-01,"2,610","8,509",4.56,5,"1,191",226,5,18,"1,113"
2015-07-02,"3,068","16,042",8.04,10,"1,112",241,29,58,"1,698"
2015-07-03,"3,140","16,485",7.87,35,"1,146",152,59,83,"1,711"
2015-07-04,"2,250","6,455",3.26,2,"1,305",87,14,34,677
2015-07-05,"2,891","11,466",5.83,24,"1,164",219,12,45,"1,433"
2015-07-06,"3,268","17,602",8.94,40,"1,099",234,32,75,"1,872"
2015-07-07,"2,735","12,231",6.83,14,"1,215",170,9,46,"1,214"
2015-07-08,"2,981","13,604",6.94,24,"1,171",170,32,67,"1,497"
2015-07-09,"2,630","9,961",5.24,5,"1,213",196,18,13,"1,096"
2015-07-10,"3,150","17,500",8.28,15,"1,135",179,36,90,"1,706"
2015-07-11,"2,498","6,615",3.62,10,"1,221",198,8,13,946
2015-07-12,"2,508","10,734",4.98,10,"1,284",76,29,51,930
2015-07-13,"2,633","10,321",5.46,8,"1,187",253,0,0,"1,145"
2015-07-14,"2,545","10,602",5.5,5,"1,219",202,3,16,"1,051"
2015-07-15,"2,593","8,891",4.7,6,"1,208",217,8,7,"1,045"
2015-07-16,"3,243","16,857",8.62,59,"1,113",187,78,62,"1,819"
2015-07-17,"2,621","10,684",5.36,7,"1,224",184,14,18,"1,069"
2015-07-18,"2,650","7,753",4.67,13,"1,136",304,0,0,"1,230"
2015-07-19,"3,414","15,499",8.37,64,"1,070",232,46,92,"2,056"
2015-07-20,"3,120","12,907",6.61,59,"1,175",152,35,78,"1,601"
2015-07-21,"2,586","10,496",5.35,15,"1,223",193,9,15,"1,070"
2015-07-22,"3,464","18,120",10.33,65,"1,101",243,24,72,"2,024"
2015-07-23,"3,340","16,005",8.26,95,"1,096",216,57,71,"1,902"
2015-07-24,"2,853","14,116",6.67,28,"1,199",147,35,59,"1,355"
2015-07-25,"3,056","11,411",6.24,65,"1,148",198,33,61,"1,631"
2015-07-26,"1,991","3,043",1.63,3,"1,367",66,6,1,345
2015-07-27,"2,652","10,828",5.62,12,"1,190",218,18,14,"1,160"
2015-07-28,"2,707","10,958",5.53,45,"1,228",141,36,35,"1,163"
2015-07-29,"3,212","15,000",7.74,146,"1,129",199,40,72,"1,779"
2015-07-30,"2,866","11,329",5.88,17,"1,166",235,19,20,"1,334"
2015-07-31,"2,855","13,282",6.27,29,"1,179",187,28,46,"1,369"

