Body
Date,Weight,BMI,Fat
2015-08-01,157.91,23.31,16.856
2015-08-02,157.91,23.31,16.801
2015-08-03,157.91,23.31,16.746
2015-08-04,157.91,23.31,16.691
2015-08-05,157.9,23.31,16.636
2015-08-06,157.9,23.31,16.581
2015-08-07,157.9,23.31,16.526
2015-08-08,157.9,23.31,16.471
2015-08-09,157.89,23.31,16.416
2015-08-10,157.89,23.31,16.361
2015-08-11,157.89,23.31,16.306
2015-08-12,157.89,23.31,16.251
2015-08-13,157.89,23.31,16.196
2015-08-14,157.88,23.31,16.141
2015-08-15,157.88,23.3,16.086
2015-08-16,157.88,23.3,16.031
2015-08-17,157.88,23.3,15.976
2015-08-18,157.87,23.3,15.921
2015-08-19,157.87,23.3,15.866
2015-08-20,157.87,23.3,15.811
2015-08-21,157.87,23.3,15.756
2015-08-22,157.87,23.3,15.701
2015-08-23,157.86,23.3,15.646
2015-08-24,157.86,23.3,15.591
2015-08-25,157.86,23.3,15.536
2015-08-26,157.86,23.3,15.481
2015-08-27,157.85,23.3,15.426
2015-08-28,157.85,23.3,15.371
2015-08-29,157.85,23.3,15.316
2015-08-30,157.85,23.3,15.261
2015-08-31,157.85,23.3,15.206

Activities
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
2015-08-01,"3,000","11,543",5.49,17,"1,153",185,50,52,"1,547"
2015-08-02,"2,723","11,463",5.48,20,"1,202",143,36,59,"1,240"
2015-08-03,"2,796","11,814",5.99,35,"1,161",247,18,14,"1,340"
2015-08-04,"3,072","15,185",7.76,27,"1,111",251,47,31,"1,660"
2015-08-05,"2,887","13,603",6.56,22,"1,175",188,38,39,"1,419"
2015-08-06,"2,648","10,500",5.02,16,"1,233",162,14,31,"1,080"
2015-08-07,"2,634","9,054",4.72,7,"1,195",207,17,21,"1,132"
2015-08-08,"2,922","10,084",5.97,7,"1,049",376,14,1,"1,592"
2015-08-09,"2,223","4,492",2.16,4,"1,302",132,6,0,586
2015-08-10,"2,904","14,240",6.88,27,"1,146",192,41,61,"1,467"
2015-08-11,"2,640","10,537",5.08,23,"1,209",183,36,12,"1,134"
2015-08-12,"2,494","7,683",4.19,10,"1,219",191,17,13,954
2015-08-13,"2,902","13,176",6.41,40,"1,169",204,24,43,"1,417"
2015-08-14,"3,308","13,582",5.79,94,"1,141",187,25,87,"1,837"
2015-08-15,"2,288","4,025",1.96,23,"1,287",107,42,4,732
2015-08-16,"3,752","18,107",3.6,137,"1,172",52,45,171,"2,300"
2015-08-17,"2,694","11,145",5.05,43,"1,215",165,19,41,"1,172"
2015-08-18,"2,458","8,743",4.01,5,"1,250",177,8,5,913
2015-08-19,"2,664","9,851",4.33,48,"1,201",229,2,8,"1,146"
2015-08-20,"2,812","11,968",5.2,19,"1,181",193,25,41,"1,321"
2015-08-21,"2,363","7,147",3.25,11,"1,285",113,20,22,756
2015-08-22,"3,631","18,496",8.13,62,996,311,82,51,"2,294"
2015-08-23,"2,876","10,518",4.74,22,"1,174",196,43,27,"1,364"
2015-08-24,"2,749","10,987",5.01,38,"1,187",195,18,40,"1,257"
2015-08-25,"2,871","12,888",5.88,3,"1,140",238,15,47,"1,438"
2015-08-26,"2,491","8,864",4.02,8,"1,259",159,6,16,892
2015-08-27,"2,772","11,601",5.01,15,"1,183",165,39,53,"1,273"
2015-08-28,"2,858","12,034",5.46,10,"1,161",240,18,21,"1,354"
2015-08-29,"2,457","6,170",2.78,6,"1,219",221,0,0,931
2015-08-30,"2,456","8,498",3.67,20,"1,278",88,31,43,914
2015-08-31,"2,655","8,740",3.75,23,"1,185",245,1,9,"1,167"

