Body
Date,Weight,BMI,Fat
2015-11-01,158.36,23.38,18.563
2015-11-02,158.39,23.38,18.59
2015-11-03,158.41,23.38,18.617
2015-11-04,158.44,23.39,18.646
2015-11-05,159.01,23.47,18.579
2015-11-06,159.57,23.55,18.512
2015-11-07,160.13,23.64,18.445
2015-11-08,160.7,23.72,18.378
2015-11-09,161.26,23.8,18.308
2015-11-10,161.19,23.79,18.283
2015-11-11,161.12,23.78,18.258
2015-11-12,161.05,23.77,18.233
2015-11-13,160.98,23.76,18.208
2015-11-14,160.91,23.75,18.179
2015-11-15,159.12,23.49,18.454
2015-11-16,159.64,23.56,18.403
2015-11-17,160.15,23.64,18.352
2015-11-18,160.66,23.71,18.301
2015-11-19,161.17,23.79,18.25
2015-11-20,160.69,23.72,18.594
2015-11-21,161.07,23.78,18.594
2015-11-22,161.45,23.83,18.594
2015-11-23,161.83,23.89,18.594
2015-11-24,162.22,23.94,18.594
2015-11-25,162.6,24,18.594
2015-11-26,162.98,24.06,18.594
2015-11-27,163.36,24.11,18.594
2015-11-28,163.74,24.17,18.594
2015-11-29,164.12,24.23,18.594
2015-11-30,164.5,24.28,18.594

Activities
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
2015-11-01,"1,783",16,0.01,0,"1,440",0,0,0,0
2015-11-02,"2,038","2,454",0.73,7,"1,354",76,10,0,423
2015-11-03,"1,710",0,0,0,"1,440",0,0,0,0
2015-11-04,"2,093","2,473",0.87,3,"1,354",44,31,11,469
2015-11-05,"1,717",0,0,0,"1,440",0,0,0,0
2015-11-06,"1,997","2,159",0.74,2,"1,370",60,10,0,354
2015-11-07,"1,719",0,0,0,"1,440",0,0,0,0
2015-11-08,"2,269","4,001",1.67,4,"1,302",115,15,8,645
2015-11-09,"2,159","2,458",0.91,28,"1,338",67,28,7,540
2015-11-10,"2,125","2,413",0.76,17,"1,352",44,33,11,496
2015-11-11,"1,722",0,0,0,"1,440",0,0,0,0
2015-11-12,"2,414","6,879",3.06,35,"1,302",96,12,30,848
2015-11-13,"1,721",0,0,0,"1,440",0,0,0,0
2015-11-14,"2,239","4,908",2.21,40,"1,339",53,25,23,626
2015-11-15,"1,883","1,264",0.49,10,"1,399",41,0,0,213
2015-11-16,"1,718",0,0,0,"1,440",0,0,0,0
2015-11-17,"2,021","2,829",0.89,5,"1,358",65,15,2,393
2015-11-18,"2,007","2,017",0.67,6,"1,353",87,0,0,383
2015-11-19,"2,278","4,882",1.76,8,"1,288",114,33,5,718
2015-11-20,"2,560","9,244",3.88,18,"1,221",198,19,2,"1,085"
2015-11-21,"1,730",0,0,0,"1,440",0,0,0,0
2015-11-22,"1,733",0,0,0,"1,440",0,0,0,0
2015-11-23,"1,734",0,0,0,"1,440",0,0,0,0
2015-11-24,"2,366","5,307",2.52,9,"1,204",118,4,4,742
2015-11-25,"1,736",0,0,0,"1,440",0,0,0,0
2015-11-26,"1,738",0,0,0,"1,440",0,0,0,0
2015-11-27,"1,743",0,0,0,"1,439",1,0,0,5
2015-11-28,"2,291","4,742",2.14,7,"1,272",68,6,5,433
2015-11-29,"2,053","2,391",0.99,4,"1,361",79,0,0,384
2015-11-30,"2,097","2,590",0.85,9,"1,349",69,21,1,463

