Body
Date,Weight,BMI,Fat
2016-04-01,163.97,24.2,19.176
2016-04-02,164.7,24.31,19.176
2016-04-03,164.83,24.33,19.158
2016-04-04,164.95,24.35,19.14
2016-04-05,165.08,24.37,19.121
2016-04-06,164.77,24.32,19.454
2016-04-07,165.03,24.36,19.655
2016-04-08,163.91,24.19,19.666
2016-04-09,165.14,24.38,19.711
2016-04-10,165.14,24.38,19.728
2016-04-11,165.14,24.38,19.745
2016-04-12,165.14,24.38,19.762
2016-04-13,165.14,24.38,19.781
2016-04-14,164.55,24.29,19.833
2016-04-15,163.93,24.2,19.849
2016-04-16,164.34,24.26,19.613
2016-04-17,164.76,24.32,19.377
2016-04-18,165.17,24.38,19.141
2016-04-19,165.58,24.44,18.902
2016-04-20,165.73,24.46,18.713
2016-04-21,165.87,24.48,18.524
2016-04-22,165.87,24.48,18.75
2016-04-23,167.57,24.73,19.18
2016-04-24,167.57,24.73,19.273
2016-04-25,167.57,24.73,19.366
2016-04-26,167.57,24.73,19.459
2016-04-27,167.57,24.73,19.552
2016-04-28,167.57,24.73,19.648
2016-04-29,166.95,24.64,19.857
2016-04-30,167.99,24.8,19.991

Activities
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
2016-04-01,"1,735",0,0,0,"1,440",0,0,0,0
2016-04-02,"1,738",0,0,0,"1,440",0,0,0,0
2016-04-03,"1,739",0,0,0,"1,440",0,0,0,0
2016-04-04,"2,128","3,034",1.29,45,"1,371",45,9,15,457
2016-04-05,"3,057","12,885",5.82,36,"1,159",210,32,39,"1,586"
2016-04-06,"2,886","12,105",5.78,42,"1,200",183,17,40,"1,353"
2016-04-07,"2,007","2,402",0.83,2,"1,372",57,10,1,341
2016-04-08,"1,735",0,0,0,"1,440",0,0,0,0
2016-04-09,"1,740",0,0,0,"1,440",0,0,0,0
2016-04-10,"1,740",0,0,0,"1,440",0,0,0,0
2016-04-11,"2,041","2,735",0.88,6,"1,363",57,18,2,385
2016-04-12,"2,151","2,581",0.99,3,"1,353",63,21,3,449
2016-04-13,"2,047","2,328",0.76,17,"1,365",47,20,8,393
2016-04-14,"2,248","3,537",1.87,37,"1,350",28,34,28,616
2016-04-15,"1,735",0,0,0,"1,440",0,0,0,0
2016-04-16,"1,738",0,0,0,"1,440",0,0,0,0
2016-04-17,"2,147","2,823",1.28,20,"1,346",80,13,1,492
2016-04-18,"3,073","12,703",6.34,122,"1,198",130,46,66,"1,553"
2016-04-19,"2,835","10,218",4.34,42,"1,186",187,41,26,"1,326"
2016-04-20,"3,853","17,966",8.05,245,"1,022",245,95,78,"2,483"
2016-04-21,"3,106","11,801",5.34,39,"1,114",258,48,20,"1,660"
2016-04-22,"3,203","14,145",6.42,111,"1,108",256,43,33,"1,782"
2016-04-23,"2,838","13,147",7.39,133,"1,333",28,3,76,"1,098"
2016-04-24,"1,752",0,0,0,"1,440",0,0,0,0
2016-04-25,"2,911","10,593",4.49,6,"1,122",270,35,13,"1,467"
2016-04-26,"2,021","2,143",0.74,0,"1,370",70,0,0,337
2016-04-27,"3,063","13,529",6.19,58,"1,164",180,44,52,"1,562"
2016-04-28,"2,037","1,847",0.65,24,"1,372",56,7,5,354
2016-04-29,"2,846","10,451",4.76,8,"1,186",219,9,26,"1,220"
2016-04-30,"2,083","2,307",1.04,4,"1,340",100,0,0,419

