Body
Date,Weight,BMI,Fat
"2014-01-01","186","27.46","0"
"2014-01-02","186.12","27.47","0"
"2014-01-03","186.23","27.49","0"
"2014-01-04","186.35","27.51","0"
"2014-01-05","186.46","27.52","0"
"2014-01-06","186.58","27.54","0"
"2014-01-07","186.69","27.56","0"
"2014-01-08","186.81","27.57","0"
"2014-01-09","186.92","27.59","0"
"2014-01-10","187.04","27.61","0"
"2014-01-11","187.15","27.63","0"
"2014-01-12","187.26","27.64","0"
"2014-01-13","187.38","27.66","0"
"2014-01-14","187.49","27.68","0"
"2014-01-15","187.61","27.69","0"
"2014-01-16","187.72","27.71","0"
"2014-01-17","187.84","27.73","0"
"2014-01-18","187.95","27.74","0"
"2014-01-19","188.07","27.76","0"
"2014-01-20","188.18","27.78","0"
"2014-01-21","188.3","27.79","0"
"2014-01-22","188.41","27.81","0"
"2014-01-23","188.53","27.83","0"
"2014-01-24","188.64","27.85","0"
"2014-01-25","188.75","27.86","0"
"2014-01-26","188.87","27.88","0"
"2014-01-27","188.98","27.9","0"
"2014-01-28","189.1","27.91","0"
"2014-01-29","189.21","27.93","0"
"2014-01-30","189.33","27.95","0"
"2014-01-31","189.44","27.96","0"

Activities
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"2014-01-01","1,861","0","0","0","1,440","0","0","0","0"
"2014-01-02","1,862","0","0","0","1,440","0","0","0","0"
"2014-01-03","1,861","0","0","0","1,440","0","0","0","0"
"2014-01-04","1,861","0","0","0","1,440","0","0","0","0"
"2014-01-05","1,862","0","0","0","1,440","0","0","0","0"
"2014-01-06","1,860","0","0","0","1,440","0","0","0","0"
"2014-01-07","1,861","0","0","0","1,440","0","0","0","0"
"2014-01-08","1,861","0","0","0","1,440","0","0","0","0"
"2014-01-09","1,862","0","0","0","1,440","0","0","0","0"
"2014-01-10","1,860","0","0","0","1,440","0","0","0","0"
"2014-01-11","1,861","0","0","0","1,440","0","0","0","0"
"2014-01-12","1,861","0","0","0","1,440","0","0","0","0"
"2014-01-13","1,862","0","0","0","1,440","0","0","0","0"
"2014-01-14","1,860","0","0","0","1,440","0","0","0","0"
"2014-01-15","1,861","0","0","0","1,440","0","0","0","0"
"2014-01-16","1,861","0","0","0","1,440","0","0","0","0"
"2014-01-17","1,862","0","0","0","1,440","0","0","0","0"
"2014-01-18","1,860","0","0","0","1,440","0","0","0","0"
"2014-01-19","1,861","0","0","0","1,440","0","0","0","0"
"2014-01-20","1,861","0","0","0","1,440","0","0","0","0"
"2014-01-21","1,862","0","0","0","1,440","0","0","0","0"
"2014-01-22","1,860","0","0","0","1,440","0","0","0","0"
"2014-01-23","1,861","0","0","0","1,440","0","0","0","0"
"2014-01-24","1,861","0","0","0","1,440","0","0","0","0"
"2014-01-25","1,862","0","0","0","1,440","0","0","0","0"
"2014-01-26","1,860","0","0","0","1,440","0","0","0","0"
"2014-01-27","1,860","0","0","0","1,440","0","0","0","0"
"2014-01-28","1,861","0","0","0","1,440","0","0","0","0"
"2014-01-29","1,862","0","0","0","1,440","0","0","0","0"
"2014-01-30","1,862","0","0","0","1,440","0","0","0","0"
"2014-01-31","1,860","0","0","0","1,440","0","0","0","0"

