Body
Date,Weight,BMI,Fat
"2015-06-01","153.81","22.7","16.273"
"2015-06-02","153.95","22.72","16.277"
"2015-06-03","154.1","22.75","16.281"
"2015-06-04","154.24","22.77","16.285"
"2015-06-05","154.39","22.79","16.289"
"2015-06-06","154.53","22.81","16.293"
"2015-06-07","154.68","22.83","16.297"
"2015-06-08","154.83","22.85","16.301"
"2015-06-09","154.97","22.88","16.305"
"2015-06-10","155.12","22.9","16.309"
"2015-06-11","155.26","22.92","16.313"
"2015-06-12","155.41","22.94","16.317"
"2015-06-13","155.55","22.96","16.321"
"2015-06-14","155.7","22.98","16.325"
"2015-06-15","155.84","23","16.329"
"2015-06-16","155.99","23.03","16.333"
"2015-06-17","156.14","23.05","16.337"
"2015-06-18","156.28","23.07","16.341"
"2015-06-19","156.43","23.09","16.345"
"2015-06-20","156.57","23.11","16.349"
"2015-06-21","156.72","23.13","16.353"
"2015-06-22","156.86","23.15","16.357"
"2015-06-23","157.01","23.18","16.371"
"2015-06-24","156.08","23.04","16.341"
"2015-06-25","157.29","23.22","16.493"
"2015-06-26","157.49","23.25","16.733"
"2015-06-27","157.49","23.25","16.917"
"2015-06-28","157.85","23.3","16.738"
"2015-06-29","158.2","23.35","16.559"
"2015-06-30","158.55","23.4","16.379"

Activities
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"2015-06-01","1,705","0","0","0","1,440","0","0","0","0"
"2015-06-02","1,705","0","0","0","1,440","0","0","0","0"
"2015-06-03","2,961","10,510","5.68","19","1,118","286","24","12","1,463"
"2015-06-04","3,538","16,061","8.84","28","1,008","300","72","60","2,265"
"2015-06-05","3,676","16,270","9.08","65","967","351","103","19","2,382"
"2015-06-06","3,431","14,798","8.58","29","970","412","46","12","2,173"
"2015-06-07","3,431","18,741","9.05","36","1,055","241","49","95","2,119"
"2015-06-08","3,365","19,310","9.71","10","1,069","210","69","92","2,035"
"2015-06-09","2,995","13,190","6.53","18","1,205","119","27","89","1,458"
"2015-06-10","3,339","17,237","8.54","29","1,040","316","35","49","2,006"
"2015-06-11","3,210","18,571","8.94","20","1,109","179","59","93","1,830"
"2015-06-12","3,832","27,548","12.93","33","995","227","88","130","2,583"
"2015-06-13","3,130","17,304","8.85","23","1,123","217","58","42","1,694"
"2015-06-14","2,678","11,002","5.68","2","1,195","160","48","37","1,232"
"2015-06-15","3,297","17,738","8.63","28","1,041","316","47","36","1,983"
"2015-06-16","2,265","4,826","2.64","5","1,270","170","0","0","717"
"2015-06-17","2,438","6,997","3.69","4","1,256","161","10","13","855"
"2015-06-18","3,226","17,307","8.56","30","1,113","230","26","71","1,777"
"2015-06-19","3,265","17,356","8.61","21","1,123","206","31","80","1,789"
"2015-06-20","3,141","16,884","8.57","11","1,103","230","54","53","1,742"
"2015-06-21","3,100","17,299","8.35","16","1,016","161","42","82","1,624"
"2015-06-22","3,066","13,128","6.51","53","1,134","232","27","47","1,602"
"2015-06-23","2,699","10,492","5.92","18","1,232","152","25","31","1,147"
"2015-06-24","2,507","6,846","3.79","3","1,206","224","5","5","987"
"2015-06-25","2,437","5,956","3.34","5","1,236","191","6","7","863"
"2015-06-26","2,992","11,043","5.74","23","1,137","247","31","25","1,501"
"2015-06-27","2,719","10,000","5.38","11","1,176","195","44","25","1,279"
"2015-06-28","2,724","10,706","5.66","2","1,163","209","56","12","1,267"
"2015-06-29","2,944","12,684","6.31","21","1,157","191","48","44","1,506"
"2015-06-30","3,055","11,995","6.04","16","1,090","275","44","31","1,642"

