Body
Date,Weight,BMI,Fat
"2016-01-01","164.9","24.34","21.61"
"2016-01-02","165","24.35","21.273"
"2016-01-03","165.09","24.37","20.936"
"2016-01-04","165.19","24.38","20.597"
"2016-01-05","163.51","24.14","20.66"
"2016-01-06","163.09","24.07","20.667"
"2016-01-07","162.43","23.98","20.432"
"2016-01-08","161.77","23.88","20.197"
"2016-01-09","161.9","23.9","20.206"
"2016-01-10","162.03","23.92","20.215"
"2016-01-11","162.15","23.94","20.224"
"2016-01-12","162.28","23.95","20.233"
"2016-01-13","162.41","23.97","20.245"
"2016-01-14","162.72","24.02","20.128"
"2016-01-15","162.72","24.02","20.115"
"2016-01-16","162.72","24.02","20.102"
"2016-01-17","162.72","24.02","20.089"
"2016-01-18","162.72","24.02","20.076"
"2016-01-19","162.72","24.02","20.062"
"2016-01-20","162.72","24.02","19.989"
"2016-01-21","161.98","23.91","19.948"
"2016-01-22","161.24","23.8","19.906"
"2016-01-23","162.23","23.95","19.934"
"2016-01-24","163.23","24.09","19.962"
"2016-01-25","162.71","24.02","19.99"
"2016-01-26","162.19","23.94","20.02"
"2016-01-27","162.14","23.93","19.957"
"2016-01-28","162.09","23.93","19.894"
"2016-01-29","162.04","23.92","19.831"
"2016-01-30","161.99","23.91","19.768"
"2016-01-31","161.94","23.9","19.705"

Activities
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"2016-01-01","1,739","0","0","0","1,440","0","0","0","0"
"2016-01-02","1,740","0","0","0","1,440","0","0","0","0"
"2016-01-03","1,754","26","0.01","0","1,436","4","0","0","19"
"2016-01-04","2,388","6,127","2.79","34","1,323","83","3","31","779"
"2016-01-05","2,537","7,466","3.34","66","1,314","50","31","45","948"
"2016-01-06","2,201","3,803","1.67","26","1,363","42","12","23","549"
"2016-01-07","1,998","1,820","0.62","1","1,371","59","10","0","344"
"2016-01-08","1,821","965","0.44","6","1,429","11","0","0","61"
"2016-01-09","1,726","0","0","0","1,440","0","0","0","0"
"2016-01-10","1,727","0","0","0","1,440","0","0","0","0"
"2016-01-11","2,375","6,341","2.94","59","1,331","54","18","37","757"
"2016-01-12","2,385","6,423","2.99","55","1,331","70","5","34","778"
"2016-01-13","2,473","7,019","3.19","55","1,283","112","19","26","910"
"2016-01-14","1,729","0","0","0","1,440","0","0","0","0"
"2016-01-15","1,729","0","0","0","1,440","0","0","0","0"
"2016-01-16","1,770","352","0.16","0","1,422","18","0","0","61"
"2016-01-17","1,729","0","0","0","1,440","0","0","0","0"
"2016-01-18","2,273","4,922","1.95","40","1,332","72","14","22","656"
"2016-01-19","2,283","4,539","1.86","30","1,339","40","27","34","673"
"2016-01-20","1,873","1,031","0.42","9","1,413","27","0","0","158"
"2016-01-21","2,431","6,325","2.95","44","1,318","59","29","34","845"
"2016-01-22","1,935","861","0.4","4","1,408","32","0","0","230"
"2016-01-23","1,727","0","0","0","1,440","0","0","0","0"
"2016-01-24","1,732","0","0","0","1,440","0","0","0","0"
"2016-01-25","1,729","0","0","0","1,440","0","0","0","0"
"2016-01-26","1,748","221","0.1","0","1,431","9","0","0","30"
"2016-01-27","2,251","4,552","1.96","37","1,346","62","10","22","612"
"2016-01-28","2,319","5,928","2.78","34","1,336","73","2","29","710"
"2016-01-29","1,726","0","0","0","1,440","0","0","0","0"
"2016-01-30","1,726","0","0","0","1,440","0","0","0","0"
"2016-01-31","1,726","0","0","0","1,440","0","0","0","0"

