Body
Date,Weight,BMI,Fat
"2016-10-01","167.59","24.74","0"
"2016-10-02","167.59","24.74","0"
"2016-10-03","167.59","24.74","0"
"2016-10-04","167.59","24.74","0"
"2016-10-05","167.59","24.74","0"
"2016-10-06","167.59","24.74","0"
"2016-10-07","167.59","24.74","0"
"2016-10-08","167.59","24.74","0"
"2016-10-09","167.59","24.74","0"
"2016-10-10","167.59","24.74","0"
"2016-10-11","167.59","24.74","0"
"2016-10-12","167.59","24.74","0"
"2016-10-13","167.59","24.74","0"
"2016-10-14","167.59","24.74","0"
"2016-10-15","167.59","24.74","0"
"2016-10-16","167.59","24.74","0"
"2016-10-17","167.59","24.74","0"
"2016-10-18","167.59","24.74","0"
"2016-10-19","167.59","24.74","0"
"2016-10-20","167.59","24.74","0"
"2016-10-21","167.59","24.74","0"
"2016-10-22","167.59","24.74","0"
"2016-10-23","167.59","24.74","0"
"2016-10-24","167.59","24.74","0"
"2016-10-25","167.59","24.74","0"
"2016-10-26","167.59","24.74","0"
"2016-10-27","167.59","24.74","0"
"2016-10-28","167.59","24.74","0"
"2016-10-29","167.59","24.74","0"
"2016-10-30","167.59","24.74","0"
"2016-10-31","167.59","24.74","0"

Activities
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"2016-10-01","2,417","6,542","3.69","23","1,333","67","6","34","740"
"2016-10-02","2,757","9,750","5.05","26","1,252","153","0","35","1,143"
"2016-10-03","3,321","14,824","7.37","25","1,152","186","37","65","1,844"
"2016-10-04","2,571","7,640","3.21","9","1,252","158","14","16","945"
"2016-10-05","2,034","3,772","2.44","17","1,414","2","0","24","316"
"2016-10-06","1,746","5,026","2.07","6","1,440","0","0","0","0"
"2016-10-07","2,489","7,838","3.19","12","1,242","162","18","18","891"
"2016-10-08","2,150","2,509","0.93","4","1,304","136","0","0","496"
"2016-10-09","2,289","4,340","1.68","13","1,292","148","0","0","645"
"2016-10-10","2,846","9,336","3.82","11","1,203","163","30","44","1,325"
"2016-10-11","3,063","9,540","3.87","14","1,172","181","37","50","1,528"
"2016-10-12","2,498","5,217","2.06","8","1,247","164","10","19","913"
"2016-10-13","2,564","8,056","3.43","12","1,252","146","12","30","940"
"2016-10-14","2,547","6,723","2.85","8","1,234","176","21","9","951"
"2016-10-15","2,142","2,592","1.03","6","1,331","109","0","0","427"
"2016-10-16","2,860","7,954","3.03","12","1,172","228","27","13","1,357"
"2016-10-17","2,562","6,647","2.65","13","1,252","147","17","24","981"
"2016-10-18","2,851","8,058","3.43","12","1,223","147","23","47","1,289"
"2016-10-19","2,511","5,771","2.33","11","1,261","179","0","0","859"
"2016-10-20","2,755","7,423","3.05","11","1,242","134","16","48","1,175"
"2016-10-21","2,737","6,818","2.8","11","1,232","144","28","36","1,151"
"2016-10-22","1,911","2,999","1.35","2","1,394","46","0","0","197"
"2016-10-23","2,082","2,926","1.17","3","1,352","78","7","3","427"
"2016-10-24","2,853","8,083","3.25","18","1,195","162","28","55","1,348"
"2016-10-25","2,317","4,848","1.94","6","1,289","151","0","0","664"
"2016-10-26","2,626","7,318","3.11","16","1,240","152","15","33","1,068"
"2016-10-27","2,739","8,185","3.34","15","1,201","199","17","23","1,205"
"2016-10-28","2,756","11,311","4.91","20","1,212","170","14","44","1,201"
"2016-10-29","2,257","3,157","1.16","4","1,297","143","0","0","628"
"2016-10-30","2,069","3,175","1.3","4","1,354","86","0","0","390"
"2016-10-31","2,860","9,108","3.77","16","1,189","167","50","34","1,354"

