Body
Date,Weight,BMI,Fat
"2014-11-01","173.56","25.62","20.277"
"2014-11-02","173.56","25.62","20.573"
"2014-11-03","170.63","25.19","20.75"
"2014-11-04","172.73","25.5","20.971"
"2014-11-05","170.52","25.17","21.083"
"2014-11-06","170.52","25.17","21.611"
"2014-11-07","170.9","25.23","21.763"
"2014-11-08","172.29","25.43","21.812"
"2014-11-09","169.66","25.04","21.218"
"2014-11-10","169.66","25.04","21.109"
"2014-11-11","169.66","25.04","20.999"
"2014-11-12","169.29","24.99","21.157"
"2014-11-13","168.91","24.93","21.315"
"2014-11-14","168.14","24.82","20.69"
"2014-11-15","167.56","24.73","20.652"
"2014-11-16","166.98","24.65","20.614"
"2014-11-17","166.4","24.56","20.575"
"2014-11-18","167.7","24.75","20.506"
"2014-11-19","169","24.95","20.437"
"2014-11-20","168.23","24.83","20.589"
"2014-11-21","166.73","24.61","20.18"
"2014-11-22","165.94","24.49","20.003"
"2014-11-23","169.07","24.96","19.916"
"2014-11-24","168.69","24.9","20.016"
"2014-11-25","167.95","24.79","19.845"
"2014-11-26","167.22","24.68","19.673"
"2014-11-27","167.46","24.72","19.734"
"2014-11-28","167.71","24.76","19.795"
"2014-11-29","167.97","24.79","19.856"
"2014-11-30","168.21","24.83","19.841"

Activities
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"2014-11-01","1,783","0","0","0","1,440","0","0","0","0"
"2014-11-02","1,851","2,894","1.31","0","1,425","10","2","3","70"
"2014-11-03","2,608","6,854","3.1","0","1,389","27","15","9","251"
"2014-11-04","3,342","17,802","8.31","0","1,400","23","7","10","201"
"2014-11-05","2,945","13,810","6.25","0","1,396","26","11","7","195"
"2014-11-06","2,912","11,194","5.06","0","1,408","14","9","9","173"
"2014-11-07","2,984","14,224","6.67","0","1,415","16","8","1","101"
"2014-11-08","2,383","5,495","2.48","0","1,419","9","6","6","127"
"2014-11-09","3,294","18,963","9.67","0","1,388","27","14","11","287"
"2014-11-10","1,955","1,430","0.65","0","1,386","38","11","5","217"
"2014-11-11","1,770","35","0.02","0","1,438","2","0","0","7"
"2014-11-12","1,764","0","0","0","1,440","0","0","0","0"
"2014-11-13","1,762","0","0","0","1,440","0","0","0","0"
"2014-11-14","3,089","12,824","6.45","0","1,413","12","7","8","166"
"2014-11-15","2,596","8,908","4.17","0","1,405","17","14","4","159"
"2014-11-16","1,780","3,282","1.53","0","1,436","2","0","2","24"
"2014-11-17","1,751","0","0","0","1,440","0","0","0","0"
"2014-11-18","1,757","0","0","0","1,440","0","0","0","0"
"2014-11-19","1,763","0","0","0","1,440","0","0","0","0"
"2014-11-20","1,759","0","0","0","1,440","0","0","0","0"
"2014-11-21","1,752","0","0","0","1,440","0","0","0","0"
"2014-11-22","1,749","0","0","0","1,440","0","0","0","0"
"2014-11-23","1,763","0","0","0","1,440","0","0","0","0"
"2014-11-24","1,761","0","0","0","1,440","0","0","0","0"
"2014-11-25","1,758","0","0","0","1,440","0","0","0","0"
"2014-11-26","1,755","0","0","0","1,440","0","0","0","0"
"2014-11-27","1,756","0","0","0","1,440","0","0","0","0"
"2014-11-28","1,757","0","0","0","1,440","0","0","0","0"
"2014-11-29","1,758","0","0","0","1,440","0","0","0","0"
"2014-11-30","1,759","0","0","0","1,440","0","0","0","0"

