Body
Date,Weight,BMI,Fat
"2016-02-01","161.88","23.9","19.639"
"2016-02-02","161.88","23.9","19.798"
"2016-02-03","161.88","23.9","19.868"
"2016-02-04","162.38","23.97","19.113"
"2016-02-05","162.87","24.04","18.357"
"2016-02-06","162.34","23.96","18.35"
"2016-02-07","161.81","23.89","18.343"
"2016-02-08","161.29","23.81","18.336"
"2016-02-09","160.76","23.73","18.329"
"2016-02-10","160.76","23.73","19.701"
"2016-02-11","160.46","23.68","19.697"
"2016-02-12","160.16","23.64","19.693"
"2016-02-13","159.85","23.6","19.687"
"2016-02-14","159.63","23.56","19.643"
"2016-02-15","159.41","23.53","19.599"
"2016-02-16","159.19","23.5","19.555"
"2016-02-17","158.97","23.47","19.509"
"2016-02-18","160.6","23.71","19.576"
"2016-02-19","160.25","23.65","19.308"
"2016-02-20","161.17","23.79","19.278"
"2016-02-21","160.05","23.63","19.603"
"2016-02-22","160.52","23.69","19.497"
"2016-02-23","160.99","23.76","19.391"
"2016-02-24","161.45","23.83","19.285"
"2016-02-25","161.92","23.9","19.179"
"2016-02-26","161.92","23.9","19.048"
"2016-02-27","161.92","23.9","18.917"
"2016-02-28","161.92","23.9","18.786"
"2016-02-29","161.92","23.9","18.655"

Activities
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"2016-02-01","1,740","80","0.04","0","1,437","3","0","0","10"
"2016-02-02","2,002","1,877","0.69","3","1,379","44","14","3","340"
"2016-02-03","1,928","1,445","0.65","6","1,400","40","0","0","225"
"2016-02-04","2,240","5,398","2.65","47","1,364","35","4","37","594"
"2016-02-05","1,845","1,171","0.53","4","1,421","19","0","0","120"
"2016-02-06","1,860","703","0.32","1","1,415","25","0","0","141"
"2016-02-07","1,724","0","0","0","1,440","0","0","0","0"
"2016-02-08","1,723","0","0","0","1,440","0","0","0","0"
"2016-02-09","1,720","0","0","0","1,440","0","0","0","0"
"2016-02-10","1,720","0","0","0","1,440","0","0","0","0"
"2016-02-11","1,718","0","0","0","1,440","0","0","0","0"
"2016-02-12","1,718","0","0","0","1,440","0","0","0","0"
"2016-02-13","1,716","0","0","0","1,440","0","0","0","0"
"2016-02-14","1,714","0","0","0","1,440","0","0","0","0"
"2016-02-15","1,714","0","0","0","1,440","0","0","0","0"
"2016-02-16","1,713","0","0","0","1,440","0","0","0","0"
"2016-02-17","1,712","0","0","0","1,440","0","0","0","0"
"2016-02-18","1,720","0","0","0","1,440","0","0","0","0"
"2016-02-19","1,718","0","0","0","1,440","0","0","0","0"
"2016-02-20","1,723","5","0","0","1,440","0","0","0","0"
"2016-02-21","1,717","0","0","0","1,440","0","0","0","0"
"2016-02-22","1,721","0","0","0","1,440","0","0","0","0"
"2016-02-23","2,200","3,788","1.33","45","1,326","87","24","3","597"
"2016-02-24","2,261","4,480","1.74","41","1,329","72","20","19","655"
"2016-02-25","2,381","3,760","1.46","48","1,321","66","36","17","751"
"2016-02-26","1,726","0","0","0","1,440","0","0","0","0"
"2016-02-27","1,726","0","0","0","1,440","0","0","0","0"
"2016-02-28","1,726","0","0","0","1,440","0","0","0","0"
"2016-02-29","2,190","4,983","2.39","39","1,360","50","4","26","548"

