"Date","Calories.Burned","Steps","Distance","Floors","Minutes.Sedentary","Minutes.Lightly.Active","Minutes.Fairly.Active","Minutes.Very.Active","Activity.Calories","Week.Day"
"2014-02-01","1,861","0",0,0,"1,440",0,0,0,"0","Saturday"
"2014-02-02","1,861","0",0,0,"1,440",0,0,0,"0","Sunday"
"2014-02-03","1,862","0",0,0,"1,440",0,0,0,"0","Monday"
"2014-02-04","1,860","0",0,0,"1,440",0,0,0,"0","Tuesday"
"2014-02-05","1,860","0",0,0,"1,440",0,0,0,"0","Wednesday"
"2014-02-06","1,861","0",0,0,"1,440",0,0,0,"0","Thursday"
"2014-02-07","1,861","0",0,0,"1,440",0,0,0,"0","Friday"
"2014-02-08","1,862","0",0,0,"1,440",0,0,0,"0","Saturday"
"2014-02-09","1,860","0",0,0,"1,440",0,0,0,"0","Sunday"
"2014-02-10","1,860","0",0,0,"1,440",0,0,0,"0","Monday"
"2014-02-11","1,861","0",0,0,"1,440",0,0,0,"0","Tuesday"
"2014-02-12","1,861","0",0,0,"1,440",0,0,0,"0","Wednesday"
"2014-02-13","1,862","0",0,0,"1,440",0,0,0,"0","Thursday"
"2014-02-14","1,860","0",0,0,"1,440",0,0,0,"0","Friday"
"2014-02-15","1,860","0",0,0,"1,440",0,0,0,"0","Saturday"
"2014-02-16","1,861","0",0,0,"1,440",0,0,0,"0","Sunday"
"2014-02-17","1,861","0",0,0,"1,440",0,0,0,"0","Monday"
"2014-02-18","1,862","0",0,0,"1,440",0,0,0,"0","Tuesday"
"2014-02-19","1,860","0",0,0,"1,440",0,0,0,"0","Wednesday"
"2014-02-20","1,860","0",0,0,"1,440",0,0,0,"0","Thursday"
"2014-02-21","1,861","0",0,0,"1,440",0,0,0,"0","Friday"
"2014-02-22","1,861","0",0,0,"1,440",0,0,0,"0","Saturday"
"2014-02-23","1,862","0",0,0,"1,440",0,0,0,"0","Sunday"
"2014-02-24","2,254","3,581",1.73,0,"1,356",45,23,16,"443","Monday"
"2014-02-25","3,136","12,085",5.59,0,"633",191,94,45,"1,590","Tuesday"
"2014-02-26","3,356","15,157",6.91,0,"613",188,145,56,"1,896","Wednesday"
"2014-02-27","3,139","13,332",6.2,0,"653",118,56,81,"1,485","Thursday"
"2014-02-28","2,963","8,389",3.82,0,"627",260,96,10,"1,453","Friday"
"2014-03-01","2,682","6,977",3.17,0,"757",160,70,15,"1,046","Saturday"
"2014-03-02","2,905","10,914",5.03,0,"1,226",104,50,60,"1,215","Sunday"
"2014-03-03","2,902","10,600",4.93,0,"1,229",94,57,60,"1,197","Monday"
"2014-03-04","3,433","16,093",7.62,0,"1,114",174,53,99,"1,873","Tuesday"
"2014-03-05","2,701","8,030",3.67,0,"1,238",108,61,33,"991","Wednesday"
"2014-03-06","2,646","7,856",3.67,0,"1,270",89,37,44,"910","Thursday"
"2014-03-07","2,822","8,467",3.86,0,"1,125",208,89,18,"1,304","Friday"
"2014-03-08","2,616","6,074",2.74,0,"680",170,76,6,"994","Saturday"
"2014-03-09","3,010","11,772",5.45,0,"696",157,70,59,"1,431","Sunday"
"2014-03-10","2,822","9,432",4.32,0,"616",134,64,45,"1,178","Monday"
"2014-03-11","2,322","3,545",1.62,0,"734",111,37,5,"600","Tuesday"
"2014-03-12","3,594","18,537",8.62,0,"1,013",210,133,84,"2,180","Wednesday"
"2014-03-13","2,473","6,026",2.77,0,"1,296",88,21,35,"732","Thursday"
"2014-03-14","2,999","10,189",4.65,0,"1,079",242,89,30,"1,519","Friday"
"2014-03-15","1,828","11",0,0,"1,439",1,0,0,"3","Saturday"
"2014-03-16","2,430","5,911",2.67,0,"1,266",94,66,14,"769","Sunday"
"2014-03-17","2,362","3,373",1.52,0,"1,260",140,40,0,"660","Monday"
"2014-03-18","2,753","8,160",3.69,0,"1,138",194,95,13,"1,228","Tuesday"
"2014-03-19","2,322","3,489",1.58,0,"1,297",101,33,9,"571","Wednesday"
"2014-03-20","2,308","3,958",1.86,0,"1,304",83,44,9,"582","Thursday"
"2014-03-21","2,807","8,945",4.04,0,"1,130",192,98,20,"1,294","Friday"
"2014-03-22","2,421","4,320",1.95,0,"1,246",144,43,7,"751","Saturday"
"2014-03-23","2,342","3,874",1.75,0,"1,276",110,53,1,"637","Sunday"
"2014-03-24","3,002","12,411",5.66,0,"1,195",114,58,73,"1,350","Monday"
"2014-03-25","2,670","7,355",3.35,0,"1,220",137,56,27,"987","Tuesday"
"2014-03-26","3,424","16,741",7.6,0,"1,054",197,111,78,"1,948","Wednesday"
"2014-03-27","3,277","14,462",6.6,0,"924",207,104,63,"1,787","Thursday"
"2014-03-28","2,621","7,934",3.6,0,"1,228",115,67,30,"992","Friday"
"2014-03-29","2,066","2,323",1.05,0,"1,374",37,23,6,"299","Saturday"
"2014-03-30","1,822","0",0,0,"1,440",0,0,0,"0","Sunday"
"2014-03-31","1,822","0",0,0,"1,440",0,0,0,"0","Monday"
"2014-04-01","1,822","0",0,0,"1,440",0,0,0,"0","Tuesday"
"2014-04-02","1,821","0",0,0,"1,440",0,0,0,"0","Wednesday"
"2014-04-03","2,051","1,834",0.83,0,"1,385",32,16,7,"247","Thursday"
"2014-04-04","3,257","16,614",7.52,0,"1,147",101,106,86,"1,681","Friday"
"2014-04-05","3,340","17,155",7.76,0,"1,106",124,124,86,"1,819","Saturday"
"2014-04-06","2,541","6,599",2.98,0,"1,246",110,63,21,"868","Sunday"
"2014-04-07","2,619","7,094",3.2,0,"1,214",135,75,16,"972","Monday"
"2014-04-08","1,854","176",0.08,0,"1,427",12,1,0,"45","Tuesday"
"2014-04-09","1,821","0",0,0,"1,440",0,0,0,"0","Wednesday"
"2014-04-10","1,821","0",0,0,"1,440",0,0,0,"0","Thursday"
