Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
2015-01-01,"1,731",0,0,0,"1,440",0,0,0,0
2015-01-02,"1,731",0,0,0,"1,440",0,0,0,0
2015-01-03,"1,731",0,0,0,"1,440",0,0,0,0
2015-01-04,"1,731",0,0,0,"1,440",0,0,0,0
2015-01-05,"1,731",0,0,0,"1,440",0,0,0,0
2015-01-06,"1,731",0,0,0,"1,440",0,0,0,0
2015-01-07,"1,732",0,0,0,"1,440",0,0,0,0
2015-01-08,"1,732",0,0,0,"1,440",0,0,0,0
2015-01-09,"1,731",0,0,0,"1,440",0,0,0,0
2015-01-10,"1,732",0,0,0,"1,440",0,0,0,0
2015-01-11,"1,732",0,0,0,"1,440",0,0,0,0
2015-01-12,"1,732",0,0,0,"1,440",0,0,0,0
2015-01-13,"1,726",0,0,0,"1,440",0,0,0,0
2015-01-14,"1,726",0,0,0,"1,440",0,0,0,0
2015-01-15,"1,721",0,0,0,"1,440",0,0,0,0
2015-01-16,"1,724",0,0,0,"1,440",0,0,0,0
2015-01-17,"1,730",0,0,0,"1,440",0,0,0,0
2015-01-18,"1,722",0,0,0,"1,440",0,0,0,0
2015-01-19,"1,731",0,0,0,"1,440",0,0,0,0
2015-01-20,"1,724",0,0,0,"1,440",0,0,0,0
2015-01-21,"1,729",0,0,0,"1,440",0,0,0,0
2015-01-22,"1,728",0,0,0,"1,440",0,0,0,0
2015-01-23,"1,723",0,0,0,"1,440",0,0,0,0
2015-01-24,"1,717",0,0,0,"1,440",0,0,0,0
2015-01-25,"1,719",0,0,0,"1,440",0,0,0,0
2015-01-26,"2,541","4,694",2.12,24,"1,216",224,0,0,"1,001"
2015-01-27,"3,200","14,886",7.25,26,666,186,48,70,"1,725"
2015-01-28,"3,085","14,301",6.46,26,622,163,58,70,"1,636"
2015-01-29,"2,522","8,683",4.13,24,773,153,8,28,914
2015-01-30,"2,928","15,088",7,29,668,174,20,71,"1,430"
2015-01-31,"2,516","6,674",3.02,31,731,225,0,0,951
