Body
Date,Weight,BMI,Fat
"2014-03-01","189.99","28.04","0"
"2014-03-02","189.99","28.04","0"
"2014-03-03","189.99","28.04","0"
"2014-03-04","190","28.05","0"
"2014-03-05","189.66","28","0"
"2014-03-06","189.32","27.95","0"
"2014-03-07","188.98","27.9","0"
"2014-03-08","188.65","27.85","0"
"2014-03-09","188.31","27.8","0"
"2014-03-10","187.97","27.75","0"
"2014-03-11","187.63","27.7","0"
"2014-03-12","187.3","27.65","0"
"2014-03-13","186.96","27.6","0"
"2014-03-14","186.62","27.55","0"
"2014-03-15","186.29","27.5","0"
"2014-03-16","185.95","27.45","0"
"2014-03-17","185.61","27.4","0"
"2014-03-18","185.27","27.35","0"
"2014-03-19","184.94","27.3","0"
"2014-03-20","184.6","27.25","0"
"2014-03-21","184.26","27.2","0"
"2014-03-22","183.92","27.15","0"
"2014-03-23","183.59","27.1","0"
"2014-03-24","183.25","27.05","0"
"2014-03-25","182.91","27","0"
"2014-03-26","182.58","26.95","0"
"2014-03-27","182.24","26.9","0"
"2014-03-28","181.9","26.85","0"
"2014-03-29","181.56","26.8","0"
"2014-03-30","181.23","26.75","0"
"2014-03-31","180.89","26.7","0"

Activities
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"2014-03-01","2,682","6,977","3.17","0","757","160","70","15","1,046"
"2014-03-02","2,905","10,914","5.03","0","1,226","104","50","60","1,215"
"2014-03-03","2,902","10,600","4.93","0","1,229","94","57","60","1,197"
"2014-03-04","3,433","16,093","7.62","0","1,114","174","53","99","1,873"
"2014-03-05","2,701","8,030","3.67","0","1,238","108","61","33","991"
"2014-03-06","2,646","7,856","3.67","0","1,270","89","37","44","910"
"2014-03-07","2,822","8,467","3.86","0","1,125","208","89","18","1,304"
"2014-03-08","2,616","6,074","2.74","0","680","170","76","6","994"
"2014-03-09","3,010","11,772","5.45","0","696","157","70","59","1,431"
"2014-03-10","2,822","9,432","4.32","0","616","134","64","45","1,178"
"2014-03-11","2,322","3,545","1.62","0","734","111","37","5","600"
"2014-03-12","3,594","18,537","8.62","0","1,013","210","133","84","2,180"
"2014-03-13","2,473","6,026","2.77","0","1,296","88","21","35","732"
"2014-03-14","2,999","10,189","4.65","0","1,079","242","89","30","1,519"
"2014-03-15","1,828","11","0","0","1,439","1","0","0","3"
"2014-03-16","2,430","5,911","2.67","0","1,266","94","66","14","769"
"2014-03-17","2,362","3,373","1.52","0","1,260","140","40","0","660"
"2014-03-18","2,753","8,160","3.69","0","1,138","194","95","13","1,228"
"2014-03-19","2,322","3,489","1.58","0","1,297","101","33","9","571"
"2014-03-20","2,308","3,958","1.86","0","1,304","83","44","9","582"
"2014-03-21","2,807","8,945","4.04","0","1,130","192","98","20","1,294"
"2014-03-22","2,421","4,320","1.95","0","1,246","144","43","7","751"
"2014-03-23","2,342","3,874","1.75","0","1,276","110","53","1","637"
"2014-03-24","3,002","12,411","5.66","0","1,195","114","58","73","1,350"
"2014-03-25","2,670","7,355","3.35","0","1,220","137","56","27","987"
"2014-03-26","3,424","16,741","7.6","0","1,054","197","111","78","1,948"
"2014-03-27","3,277","14,462","6.6","0","924","207","104","63","1,787"
"2014-03-28","2,621","7,934","3.6","0","1,228","115","67","30","992"
"2014-03-29","2,066","2,323","1.05","0","1,374","37","23","6","299"
"2014-03-30","1,822","0","0","0","1,440","0","0","0","0"
"2014-03-31","1,822","0","0","0","1,440","0","0","0","0"

