Body
Date,Weight,BMI,Fat
"2015-09-01","157.82","23.3","15.138"
"2015-09-02","158.35","23.37","16.732"
"2015-09-03","158.87","23.45","16.974"
"2015-09-04","159.39","23.53","17.216"
"2015-09-05","159.92","23.61","17.459"
"2015-09-06","158.33","23.37","17.405"
"2015-09-07","158.38","23.38","17.45"
"2015-09-08","158.43","23.39","17.495"
"2015-09-09","158.49","23.39","17.54"
"2015-09-10","158.49","23.39","17.628"
"2015-09-11","158.5","23.4","17.716"
"2015-09-12","158.51","23.4","17.805"
"2015-09-13","158.8","23.44","17.842"
"2015-09-14","159.1","23.49","17.879"
"2015-09-15","159.4","23.53","17.916"
"2015-09-16","159.7","23.57","17.953"
"2015-09-17","160","23.62","17.99"
"2015-09-18","160.29","23.66","18.027"
"2015-09-19","160.6","23.71","18.065"
"2015-09-20","154.34","22.78","17.68"
"2015-09-21","161.4","23.82","17.294"
"2015-09-22","160.97","23.76","17.085"
"2015-09-23","160.54","23.7","16.876"
"2015-09-24","160.12","23.63","16.666"
"2015-09-25","160.67","23.72","16.794"
"2015-09-26","161.22","23.8","16.922"
"2015-09-27","160.96","23.76","16.922"
"2015-09-28","160.71","23.72","16.922"
"2015-09-29","160.45","23.68","16.922"
"2015-09-30","160.2","23.65","16.922"

Activities
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"2015-09-01","2,439","7,153","3","13","1,266","144","17","13","855"
"2015-09-02","2,778","11,586","5.25","25","1,196","189","25","30","1,252"
"2015-09-03","2,596","8,341","3.45","23","1,217","214","8","1","1,035"
"2015-09-04","2,959","12,148","5.28","24","1,159","211","37","33","1,477"
"2015-09-05","2,447","3,891","1.76","5","1,216","224","0","0","852"
"2015-09-06","2,467","5,133","2.19","4","1,211","216","13","0","951"
"2015-09-07","2,666","10,197","4.48","13","1,217","157","49","17","1,167"
"2015-09-08","2,551","7,389","3.11","20","1,214","198","15","13","1,021"
"2015-09-09","2,667","10,186","4.3","25","1,204","197","20","19","1,163"
"2015-09-10","2,459","6,736","3.04","8","1,252","175","1","12","833"
"2015-09-11","2,645","8,886","3.66","9","1,223","176","20","21","1,118"
"2015-09-12","2,820","10,426","4.52","6","1,140","259","11","30","1,384"
"2015-09-13","2,735","9,389","4.24","17","1,158","254","13","15","1,220"
"2015-09-14","2,525","8,458","3.82","8","1,225","201","6","8","981"
"2015-09-15","2,344","6,846","3.09","4","1,280","146","3","11","745"
"2015-09-16","2,670","9,589","4.05","10","1,209","184","34","13","1,141"
"2015-09-17","2,813","11,187","4.68","9","1,165","247","16","12","1,335"
"2015-09-18","2,715","10,366","4.39","13","1,203","207","13","17","1,185"
"2015-09-19","3,006","10,876","4.91","2","1,083","322","10","25","1,634"
"2015-09-20","2,545","5,986","2.7","7","1,179","261","0","0","1,039"
"2015-09-21","2,966","13,689","6.21","17","1,163","198","42","37","1,437"
"2015-09-22","2,858","11,464","5.12","52","1,181","193","23","43","1,367"
"2015-09-23","2,881","11,067","4.87","31","1,183","206","25","26","1,379"
"2015-09-24","2,896","10,357","4.65","61","1,188","220","13","19","1,357"
"2015-09-25","2,763","10,386","4.44","33","1,186","203","25","26","1,253"
"2015-09-26","3,067","10,033","4.2","17","1,078","301","41","20","1,697"
"2015-09-27","2,170","2,199","0.99","3","1,307","133","0","0","481"
"2015-09-28","2,681","9,384","4.01","21","1,192","185","38","25","1,182"
"2015-09-29","2,197","4,232","1.62","6","1,293","131","16","0","618"
"2015-09-30","2,937","11,966","5.22","54","1,155","209","39","37","1,481"

