Body
Date,Weight,BMI,Fat
"2016-06-01","168.96","24.94","20.251"
"2016-06-02","168.63","24.89","20.109"
"2016-06-03","168.3","24.84","19.966"
"2016-06-04","168.3","24.84","20.076"
"2016-06-05","168.3","24.84","20.186"
"2016-06-06","168.3","24.84","20.296"
"2016-06-07","168.3","24.84","20.406"
"2016-06-08","168.3","24.84","20.516"
"2016-06-09","168.3","24.84","20.626"
"2016-06-10","168.3","24.84","20.736"
"2016-06-11","168.3","24.84","20.846"
"2016-06-12","168.3","24.84","20.956"
"2016-06-13","168.3","24.84","21.066"
"2016-06-14","168.3","24.84","21.186"
"2016-06-15","168.26","24.84","21.159"
"2016-06-16","168.22","24.83","21.132"
"2016-06-17","168.18","24.83","21.105"
"2016-06-18","168.15","24.82","21.078"
"2016-06-19","168.11","24.81","21.051"
"2016-06-20","168.07","24.81","21.024"
"2016-06-21","168.03","24.8","20.997"
"2016-06-22","168","24.8","20.97"
"2016-06-23","167.96","24.79","20.943"
"2016-06-24","167.92","24.79","20.91"
"2016-06-25","167.84","24.77","20.921"
"2016-06-26","167.76","24.76","20.932"
"2016-06-27","167.68","24.75","20.943"
"2016-06-28","167.59","24.74","20.957"
"2016-06-29","167.59","24.74","20.957"
"2016-06-30","167.59","24.74","20.957"

Activities
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"2016-06-01","3,442","17,107","8.34","145","1,187","170","35","48","1,601"
"2016-06-02","3,177","14,151","6.71","114","1,166","195","28","51","1,640"
"2016-06-03","3,012","11,778","5.15","32","1,127","250","36","27","1,533"
"2016-06-04","2,492","4,375","1.98","4","1,239","201","0","0","829"
"2016-06-05","3,983","19,191","8.85","303","1,008","287","49","96","2,663"
"2016-06-06","3,264","14,148","6.15","65","1,056","343","17","24","1,913"
"2016-06-07","2,800","10,137","4.43","18","1,197","212","22","9","1,243"
"2016-06-08","2,883","9,841","4.27","14","1,157","254","18","11","1,405"
"2016-06-09","3,234","13,001","5.39","20","1,123","222","44","51","1,778"
"2016-06-10","2,984","13,232","5.53","13","1,148","211","42","39","1,515"
"2016-06-11","2,761","10,972","4.57","21","1,213","166","34","27","1,253"
"2016-06-12","3,001","12,816","5.79","45","1,223","116","27","74","1,438"
"2016-06-13","3,122","11,429","4.68","10","1,145","179","55","61","1,644"
"2016-06-14","2,848","8,660","3.44","6","1,160","248","14","18","1,310"
"2016-06-15","2,849","10,064","4.17","11","1,184","216","20","20","1,319"
"2016-06-16","3,517","18,065","7.64","24","1,085","192","65","98","2,070"
"2016-06-17","3,033","11,297","4.54","27","1,146","207","52","35","1,554"
"2016-06-18","3,263","14,411","6.04","26","1,097","259","37","47","1,796"
"2016-06-19","2,749","9,434","3.83","18","1,202","205","17","16","1,186"
"2016-06-20","2,902","11,563","4.84","25","1,197","184","37","22","1,365"
"2016-06-21","3,479","17,004","7.6","24","1,113","203","34","90","2,009"
"2016-06-22","3,330","16,334","7.7","45","1,137","205","29","69","1,838"
"2016-06-23","2,483","7,823","3.26","7","1,263","141","11","25","871"
"2016-06-24","2,987","13,112","5.57","19","1,167","228","17","28","1,497"
"2016-06-25","3,218","9,418","3.64","28","1,079","307","30","24","1,760"
"2016-06-26","3,273","15,050","7.77","107","1,164","154","59","63","1,802"
"2016-06-27","2,903","10,304","4.15","14","1,160","247","22","11","1,388"
"2016-06-28","3,005","12,416","5.13","13","1,130","256","24","30","1,556"
"2016-06-29","2,964","15,548","6.77","20","1,189","153","31","67","1,458"
"2016-06-30","3,445","21,180","9.29","16","1,121","183","27","109","1,926"

