Body
Date,Weight,BMI,Fat
"2017-06-01","175.9","25.96","0"
"2017-06-02","175.9","25.96","0"
"2017-06-03","175.9","25.96","0"
"2017-06-04","175.9","25.96","0"
"2017-06-05","175.9","25.96","0"
"2017-06-06","175.9","25.96","0"
"2017-06-07","175.9","25.96","0"
"2017-06-08","175.9","25.96","0"
"2017-06-09","175.9","25.96","0"
"2017-06-10","175.9","25.96","0"
"2017-06-11","175.9","25.96","0"
"2017-06-12","175.9","25.96","0"
"2017-06-13","175.9","25.96","0"
"2017-06-14","175.9","25.96","0"
"2017-06-15","175.9","25.96","0"
"2017-06-16","175.9","25.96","0"
"2017-06-17","175.9","25.96","0"
"2017-06-18","175.9","25.96","0"
"2017-06-19","175.9","25.96","0"
"2017-06-20","175.9","25.96","0"
"2017-06-21","175.9","25.96","0"
"2017-06-22","175.9","25.96","0"
"2017-06-23","175.9","25.96","0"
"2017-06-24","175.9","25.96","0"
"2017-06-25","175.9","25.96","0"
"2017-06-26","175.9","25.96","0"
"2017-06-27","175.9","25.96","0"
"2017-06-28","175.9","25.96","0"
"2017-06-29","175.9","25.96","0"
"2017-06-30","175.9","25.96","0"

Activities
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"2017-06-01","4,137","17,475","7.25","28","1,014","262","52","112","2,713"
"2017-06-02","2,768","9,060","3.84","12","1,247","152","17","24","1,062"
"2017-06-03","2,711","8,578","3.64","9","1,215","194","5","26","1,119"
"2017-06-04","2,894","8,445","3.53","46","1,243","112","13","72","1,323"
"2017-06-05","3,116","11,323","4.64","32","1,156","184","64","36","1,590"
"2017-06-06","3,164","12,410","5.28","16","1,185","141","51","63","1,622"
"2017-06-07","3,279","13,386","5.65","15","1,171","155","37","77","1,754"
"2017-06-08","2,496","13,817","5.83","33","1,286","128","10","16","849"
"2017-06-09","1,784","7,768","3.19","17","1,440","0","0","0","0"
"2017-06-10","1,784","9,606","3.79","17","1,440","0","0","0","0"
"2017-06-11","1,784","6,124","2.66","9","1,440","0","0","0","0"
"2017-06-12","1,784","16,165","6.8","23","1,440","0","0","0","0"
"2017-06-13","1,784","15,585","6.55","35","1,440","0","0","0","0"
"2017-06-14","1,784","11,400","4.83","30","1,440","0","0","0","0"
"2017-06-15","2,776","11,900","5.01","19","1,233","167","23","17","1,111"
"2017-06-16","2,791","10,449","4.46","29","1,239","170","10","21","1,154"
"2017-06-17","2,536","6,514","2.67","8","1,260","159","7","14","915"
"2017-06-18","2,452","6,105","2.63","10","1,244","169","13","14","868"
"2017-06-19","3,156","11,660","4.9","38","1,146","213","34","47","1,646"
"2017-06-20","2,839","11,710","5.13","20","1,246","112","29","53","1,202"
"2017-06-21","2,864","10,462","4.43","22","1,213","183","18","26","1,225"
"2017-06-22","2,408","7,039","3.02","15","1,315","89","10","26","702"
"2017-06-23","2,997","14,355","6.29","21","1,217","110","28","85","1,358"
"2017-06-24","2,055","2,671","1.12","8","1,383","45","7","5","304"
"2017-06-25","2,813","8,024","3.27","24","1,199","218","12","11","1,230"
"2017-06-26","3,290","12,144","5.05","18","1,123","221","55","41","1,825"
"2017-06-27","2,580","9,140","3.88","21","1,262","156","5","17","953"
"2017-06-28","3,414","12,905","5.35","19","1,135","158","54","93","1,944"
"2017-06-29","3,482","14,336","5.89","26","1,092","256","52","40","2,008"
"2017-06-30","3,379","17,883","7.76","28","1,125","212","29","74","1,841"

