Body
Date,Weight,BMI,Fat
"2017-08-01","175.9","25.96","0"
"2017-08-02","175.9","25.96","0"
"2017-08-03","175.9","25.96","0"
"2017-08-04","175.9","25.96","0"
"2017-08-05","175.9","25.96","0"
"2017-08-06","175.9","25.96","0"
"2017-08-07","175.9","25.96","0"
"2017-08-08","175.9","25.96","0"
"2017-08-09","175.9","25.96","0"
"2017-08-10","175.9","25.96","0"
"2017-08-11","175.9","25.96","0"
"2017-08-12","175.9","25.96","0"
"2017-08-13","175.9","25.96","0"
"2017-08-14","175.9","25.96","0"
"2017-08-15","175.9","25.96","0"
"2017-08-16","175.9","25.96","0"
"2017-08-17","175.9","25.96","0"
"2017-08-18","175.9","25.96","0"
"2017-08-19","175.9","25.96","0"
"2017-08-20","175.9","25.96","0"
"2017-08-21","175.9","25.96","0"
"2017-08-22","175.9","25.96","0"
"2017-08-23","175.9","25.96","0"
"2017-08-24","175.9","25.96","0"
"2017-08-25","175.9","25.96","0"
"2017-08-26","175.9","25.96","0"
"2017-08-27","175.9","25.96","0"
"2017-08-28","175.9","25.96","0"
"2017-08-29","175.9","25.96","0"
"2017-08-30","175.9","25.96","0"
"2017-08-31","175.9","25.96","0"

Activities
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"2017-08-01","3,455","17,811","7.85","43","1,170","152","28","90","1,955"
"2017-08-02","3,279","15,916","6.95","25","1,202","119","35","84","1,723"
"2017-08-03","2,650","10,332","4.45","29","1,252","136","7","45","1,044"
"2017-08-04","2,415","6,123","2.6","9","1,295","127","9","9","739"
"2017-08-05","3,460","15,775","6.47","33","1,068","220","108","44","2,106"
"2017-08-06","2,330","3,980","1.58","4","1,290","133","16","1","660"
"2017-08-07","3,375","16,413","7","38","1,167","152","45","76","1,885"
"2017-08-08","3,117","12,046","5.32","23","1,209","127","31","73","1,566"
"2017-08-09","2,597","10,382","4.53","19","1,280","108","11","41","957"
"2017-08-10","1,919","1,571","0.66","1","1,409","31","0","0","167"
"2017-08-11","3,032","10,779","4.37","15","1,114","291","21","14","1,504"
"2017-08-12","3,169","10,628","4.21","27","1,078","342","18","2","1,695"
"2017-08-13","2,503","6,674","2.71","20","1,255","177","4","4","853"
"2017-08-14","3,507","18,418","7.93","28","1,138","142","46","114","2,031"
"2017-08-15","3,576","18,756","8.21","29","1,156","132","38","114","2,079"
"2017-08-16","2,677","9,279","4.47","25","1,303","77","15","45","1,021"
"2017-08-17","2,787","11,162","4.74","25","1,228","178","15","19","1,187"
"2017-08-18","5,678","26,713","10.44","128","832","195","114","299","4,529"
"2017-08-19","2,227","3,929","1.61","9","1,336","92","8","4","521"
"2017-08-20","2,543","5,497","2.03","10","1,222","206","12","0","999"
"2017-08-21","2,615","10,113","4.28","26","1,247","164","16","13","1,031"
"2017-08-22","3,258","12,705","5.33","32","1,163","147","37","93","1,768"
"2017-08-23","3,617","18,194","7.84","25","1,140","176","22","102","2,138"
"2017-08-24","3,418","15,408","6.61","27","1,155","160","42","83","1,914"
"2017-08-25","2,936","12,436","5.26","24","1,170","199","50","21","1,419"
"2017-08-26","2,966","9,340","3.53","10","1,104","336","0","0","1,520"
"2017-08-27","2,554","5,864","2.29","17","1,233","199","6","2","934"
"2017-08-28","3,492","17,716","7.54","19","1,113","224","18","85","2,040"
"2017-08-29","3,483","18,512","8.07","29","1,165","138","31","106","1,964"
"2017-08-30","2,455","7,700","3.24","15","1,297","118","4","21","768"
"2017-08-31","2,415","8,274","3.56","12","1,301","91","19","29","769"

