Body
Date,Weight,BMI,Fat
"2017-10-01","173.95","25.68","21.982"
"2017-10-02","174.01","25.69","21.982"
"2017-10-03","174.07","25.69","21.982"
"2017-10-04","174.13","25.7","21.982"
"2017-10-05","174.19","25.71","21.982"
"2017-10-06","174.25","25.72","21.982"
"2017-10-07","174.31","25.73","21.982"
"2017-10-08","174.37","25.74","21.982"
"2017-10-09","174.43","25.75","21.982"
"2017-10-10","174.49","25.76","21.982"
"2017-10-11","174.55","25.76","21.982"
"2017-10-12","174.61","25.77","21.982"
"2017-10-13","174.67","25.78","21.982"
"2017-10-14","174.72","25.79","21.982"
"2017-10-15","174.78","25.8","21.982"
"2017-10-16","174.84","25.81","21.982"
"2017-10-17","174.9","25.82","21.982"
"2017-10-18","174.96","25.83","21.982"
"2017-10-19","175.02","25.83","21.982"
"2017-10-20","175.08","25.84","21.982"
"2017-10-21","175.14","25.85","21.982"
"2017-10-22","175.2","25.86","21.982"
"2017-10-23","175.26","25.87","21.982"
"2017-10-24","175.32","25.88","21.982"
"2017-10-25","175.38","25.89","21.982"
"2017-10-26","175.44","25.9","21.982"
"2017-10-27","175.5","25.91","21.982"
"2017-10-28","175.56","25.91","21.982"
"2017-10-29","175.62","25.92","21.982"
"2017-10-30","175.68","25.93","21.982"
"2017-10-31","175.74","25.94","21.982"

Activities
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"2017-10-01","2,227","3,221","1.2","2","1,311","121","7","1","583"
"2017-10-02","3,362","16,009","6.8","24","1,171","112","56","101","1,844"
"2017-10-03","2,563","8,522","3.59","17","1,257","173","1","9","927"
"2017-10-04","2,441","7,388","3.2","19","1,293","140","4","3","773"
"2017-10-05","2,547","7,794","3.29","13","1,259","175","5","1","900"
"2017-10-06","3,146","12,579","5.24","14","1,153","202","42","43","1,539"
"2017-10-07","3,671","22,769","9.87","24","1,086","157","102","95","2,247"
"2017-10-08","2,423","7,848","3.44","8","1,299","86","28","27","795"
"2017-10-09","2,576","6,902","2.82","5","1,265","175","0","0","868"
"2017-10-10","2,717","8,938","3.85","24","1,252","146","12","30","1,097"
"2017-10-11","2,861","8,274","3.3","17","1,219","154","37","30","1,279"
"2017-10-12","2,965","10,385","4.33","28","1,197","182","29","32","1,408"
"2017-10-13","2,246","3,654","1.39","10","1,303","137","0","0","586"
"2017-10-14","1,908","1,179","0.44","3","1,408","32","0","0","152"
"2017-10-15","2,835","6,875","2.61","5","1,161","230","38","11","1,335"
"2017-10-16","2,966","9,334","3.79","26","1,215","150","33","42","1,386"
"2017-10-17","3,191","11,809","4.94","15","1,188","141","32","79","1,630"
"2017-10-18","3,151","15,122","6.41","16","1,127","233","29","51","1,638"
"2017-10-19","2,476","6,168","2.46","6","1,255","185","0","0","858"
"2017-10-20","2,756","10,801","4.48","18","1,206","177","17","40","1,210"
"2017-10-21","2,036","2,958","1.31","9","1,397","17","6","20","281"
"2017-10-22","2,677","7,966","3.29","14","1,246","170","9","15","1,022"
"2017-10-23","2,293","3,690","1.58","5","1,324","105","4","7","570"
"2017-10-24","2,439","4,189","1.6","7","1,265","175","0","0","729"
"2017-10-25","2,927","12,679","5.26","13","1,159","244","5","32","1,412"
"2017-10-26","2,774","9,755","3.99","18","1,161","258","11","10","1,255"
"2017-10-27","2,471","6,908","3.15","11","1,295","87","27","31","826"
"2017-10-28","2,609","6,841","2.61","2","1,205","235","0","0","1,061"
"2017-10-29","3,163","10,735","4.36","9","1,088","303","27","22","1,748"
"2017-10-30","2,546","8,251","3.39","26","1,244","170","7","19","956"
"2017-10-31","2,456","7,861","3.33","12","1,277","153","3","7","822"

