Body
Date,Weight,BMI,Fat
"2017-12-01","175.48","25.9","22.336"
"2017-12-02","175.2","25.86","22.367"
"2017-12-03","174.91","25.82","22.399"
"2017-12-04","174.91","25.82","22.38"
"2017-12-05","174.91","25.82","22.361"
"2017-12-06","174.91","25.82","22.34"
"2017-12-07","174.34","25.73","22.385"
"2017-12-08","173.76","25.65","22.43"
"2017-12-09","173.82","25.66","22.419"
"2017-12-10","173.87","25.67","22.408"
"2017-12-11","173.93","25.67","22.397"
"2017-12-12","173.98","25.68","22.386"
"2017-12-13","174.04","25.69","22.375"
"2017-12-14","174.09","25.7","22.364"
"2017-12-15","175.11","25.85","22.322"
"2017-12-16","174.31","25.73","22.235"
"2017-12-17","174.55","25.77","22.235"
"2017-12-18","174.8","25.8","22.235"
"2017-12-19","175.04","25.84","22.235"
"2017-12-20","175.28","25.87","22.235"
"2017-12-21","175.52","25.91","22.235"
"2017-12-22","175.76","25.94","22.235"
"2017-12-23","176","25.98","22.235"
"2017-12-24","176.24","26.01","22.235"
"2017-12-25","176.48","26.05","22.235"
"2017-12-26","176.72","26.09","22.235"
"2017-12-27","176.96","26.12","22.235"
"2017-12-28","177.2","26.16","22.235"
"2017-12-29","177.44","26.19","22.235"
"2017-12-30","177.68","26.23","22.235"
"2017-12-31","177.92","26.26","22.235"

Activities
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"2017-12-01","2,471","5,950","2.49","13","1,269","156","4","11","805"
"2017-12-02","2,205","2,891","1.06","5","1,320","120","0","0","524"
"2017-12-03","2,313","2,860","1","1","1,307","97","13","23","682"
"2017-12-04","3,200","14,333","6.05","22","1,168","151","41","80","1,695"
"2017-12-05","3,251","10,985","4.54","14","1,147","186","35","72","1,751"
"2017-12-06","2,736","11,875","5.19","10","1,251","110","29","50","1,110"
"2017-12-07","3,201","15,637","6.54","16","1,102","260","13","65","1,732"
"2017-12-08","2,735","7,464","3.26","16","1,246","157","12","25","1,043"
"2017-12-09","2,419","4,482","1.67","10","1,246","194","0","0","822"
"2017-12-10","2,271","3,849","1.43","2","1,291","134","15","0","623"
"2017-12-11","2,812","10,596","4.44","17","1,214","157","32","37","1,248"
"2017-12-12","2,906","10,595","4.48","16","1,218","149","26","47","1,319"
"2017-12-13","3,225","12,205","5.13","22","1,165","156","63","56","1,711"
"2017-12-14","3,177","11,328","4.66","9","1,164","163","43","70","1,635"
"2017-12-15","2,621","7,974","3.46","4","1,270","137","13","20","929"
"2017-12-16","2,991","10,487","4.19","16","1,135","241","53","11","1,492"
"2017-12-17","3,186","14,042","6.07","17","1,149","210","33","48","1,625"
"2017-12-18","2,612","5,861","2.25","12","1,250","157","27","6","914"
"2017-12-19","2,753","8,904","3.47","14","1,170","240","28","2","1,244"
"2017-12-20","2,604","5,999","2.55","12","1,251","159","6","24","980"
"2017-12-21","2,375","4,600","1.73","4","1,273","167","0","0","717"
"2017-12-22","2,457","5,872","2.31","14","1,240","200","0","0","859"
"2017-12-23","2,435","4,176","1.59","6","1,285","128","19","8","780"
"2017-12-24","2,278","3,464","1.31","6","1,311","129","0","0","575"
"2017-12-25","2,836","9,289","3.61","12","1,149","268","16","7","1,303"
"2017-12-26","2,692","8,195","3.19","6","1,194","236","4","6","1,113"
"2017-12-27","2,646","7,269","2.85","11","1,215","225","0","0","1,094"
"2017-12-28","2,955","9,030","3.52","12","1,164","197","60","19","1,465"
"2017-12-29","2,571","6,432","2.65","5","1,270","126","26","18","868"
"2017-12-30","2,221","2,783","1.03","3","1,317","116","7","0","499"
"2017-12-31","1,794","37","0.01","0","1,439","1","0","0","6"

