Body
Date,Weight,BMI,Fat
"2018-02-01","171.87","25.37","22.504"
"2018-02-02","172.22","25.42","22.478"
"2018-02-03","172.57","25.47","22.452"
"2018-02-04","172.93","25.53","22.424"
"2018-02-05","172.66","25.49","22.456"
"2018-02-06","172.4","25.45","22.488"
"2018-02-07","171.81","25.36","22.377"
"2018-02-08","171.22","25.27","22.266"
"2018-02-09","170.64","25.19","22.155"
"2018-02-10","170.05","25.1","22.044"
"2018-02-11","169.46","25.01","21.933"
"2018-02-12","168.87","24.93","21.822"
"2018-02-13","169.05","24.95","21.826"
"2018-02-14","169.23","24.98","21.83"
"2018-02-15","169.41","25.01","21.834"
"2018-02-16","169.59","25.03","21.838"
"2018-02-17","169.77","25.06","21.842"
"2018-02-18","169.95","25.09","21.846"
"2018-02-19","170.13","25.11","21.85"
"2018-02-20","170.32","25.14","21.854"
"2018-02-21","170.5","25.17","21.858"
"2018-02-22","170.68","25.19","21.862"
"2018-02-23","170.86","25.22","21.866"
"2018-02-24","171.04","25.25","21.87"
"2018-02-25","171.22","25.27","21.874"
"2018-02-26","171.4","25.3","21.878"
"2018-02-27","171.58","25.33","21.882"
"2018-02-28","171.76","25.35","21.886"

Activities
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"2018-02-01","2,869","11,186","4.7","7","1,205","140","33","62","1,322"
"2018-02-02","2,987","10,023","3.98","16","1,118","311","6","5","1,495"
"2018-02-03","2,454","6,010","2.63","6","1,322","56","17","45","815"
"2018-02-04","2,125","2,745","1.09","6","1,341","99","0","0","460"
"2018-02-05","2,887","11,501","4.9","29","1,202","191","21","26","1,314"
"2018-02-06","2,832","12,006","5.17","19","1,205","195","5","35","1,251"
"2018-02-07","2,974","11,511","4.82","23","1,191","163","32","54","1,436"
"2018-02-08","2,511","8,759","3.74","9","1,270","130","4","36","886"
"2018-02-09","3,113","10,589","4.41","9","1,123","237","36","44","1,553"
"2018-02-10","2,597","7,669","3.18","24","1,251","136","22","31","968"
"2018-02-11","2,468","4,830","1.88","10","1,245","175","12","8","896"
"2018-02-12","2,958","14,321","6.09","21","1,197","157","35","51","1,379"
"2018-02-13","2,498","5,559","2.24","13","1,269","153","12","6","809"
"2018-02-14","2,062","2,745","1.07","4","1,362","78","0","0","363"
"2018-02-15","1,911","1,505","0.6","1","1,399","41","0","0","187"
"2018-02-16","2,046","2,007","0.84","0","1,379","44","6","11","354"
"2018-02-17","2,909","4,912","1.92","2","1,168","272","0","0","1,280"
"2018-02-18","3,967","17,021","7.16","16","979","266","103","92","2,653"
"2018-02-19","3,909","21,703","9.08","19","963","344","65","68","2,580"
"2018-02-20","2,892","11,078","4.82","13","1,219","157","27","37","1,206"
"2018-02-21","2,197","4,755","1.97","8","1,338","86","11","5","516"
"2018-02-22","1,760","0","0","0","1,440","0","0","0","0"
"2018-02-23","2,240","5,302","2.25","4","1,336","68","21","15","589"
"2018-02-24","1,921","1,472","0.59","3","1,396","37","6","1","210"
"2018-02-25","2,041","2,373","0.9","1","1,366","53","20","1","351"
"2018-02-26","2,909","13,258","5.77","16","1,212","168","25","35","1,301"
"2018-02-27","2,738","11,515","4.97","22","1,244","139","24","33","1,124"
"2018-02-28","2,559","8,831","3.81","19","1,274","136","3","27","891"

