Body
Date,Weight,BMI,Fat
"2018-03-01","171.98","25.39","21.899"
"2018-03-02","171.59","25.33","21.879"
"2018-03-03","171.19","25.27","21.859"
"2018-03-04","170.8","25.21","21.839"
"2018-03-05","170.41","25.15","21.819"
"2018-03-06","170.02","25.1","21.799"
"2018-03-07","169.62","25.04","21.779"
"2018-03-08","169.23","24.98","21.759"
"2018-03-09","168.84","24.92","21.739"
"2018-03-10","168.45","24.86","21.719"
"2018-03-11","168.05","24.81","21.694"
"2018-03-12","168.03","24.8","21.694"
"2018-03-13","168","24.8","21.694"
"2018-03-14","167.97","24.79","21.694"
"2018-03-15","167.95","24.79","21.694"
"2018-03-16","167.92","24.79","21.694"
"2018-03-17","167.89","24.78","21.694"
"2018-03-18","167.87","24.78","21.694"
"2018-03-19","167.84","24.78","21.694"
"2018-03-20","167.82","24.77","21.694"
"2018-03-21","167.79","24.77","21.694"
"2018-03-22","167.76","24.76","21.694"
"2018-03-23","167.74","24.76","21.694"
"2018-03-24","167.71","24.76","21.694"
"2018-03-25","167.68","24.75","21.694"
"2018-03-26","167.66","24.75","21.694"
"2018-03-27","167.63","24.74","21.694"
"2018-03-28","167.6","24.74","21.694"
"2018-03-29","167.58","24.74","21.694"
"2018-03-30","167.55","24.73","21.694"
"2018-03-31","167.52","24.73","21.694"

Activities
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"2018-03-01","2,550","10,006","4.34","10","1,279","94","24","43","936"
"2018-03-02","2,982","12,694","5.43","11","1,176","169","38","57","1,444"
"2018-03-03","2,239","4,460","1.83","10","1,321","100","3","16","610"
"2018-03-04","2,969","12,004","4.88","19","1,126","274","24","16","1,558"
"2018-03-05","1,841","1,027","0.44","9","1,417","23","0","0","118"
"2018-03-06","2,146","4,147","1.67","15","1,342","80","16","2","496"
"2018-03-07","3,088","13,229","5.56","16","1,168","168","37","67","1,576"
"2018-03-08","3,150","13,755","5.73","13","1,158","157","47","78","1,661"
"2018-03-09","1,799","573","0.24","3","1,425","15","0","0","70"
"2018-03-10","2,037","2,368","0.92","3","1,363","69","7","1","365"
"2018-03-11","1,811","709","0.29","0","1,422","18","0","0","87"
"2018-03-12","3,240","16,447","6.98","22","1,143","178","54","65","1,777"
"2018-03-13","2,987","15,337","6.56","29","1,186","167","31","56","1,451"
"2018-03-14","2,983","14,024","6.01","25","1,183","174","25","58","1,498"
"2018-03-15","3,306","16,008","6.82","16","1,126","170","63","81","1,861"
"2018-03-16","2,378","6,531","2.76","3","1,301","95","11","33","747"
"2018-03-17","1,857","1,652","0.73","1","1,420","3","6","11","138"
"2018-03-18","2,065","4,007","1.79","1","1,376","52","6","6","386"
"2018-03-19","3,047","16,002","6.87","29","1,170","202","15","53","1,534"
"2018-03-20","2,704","11,427","4.83","26","1,232","161","5","42","1,136"
"2018-03-21","3,019","13,295","5.63","18","1,204","106","44","86","1,515"
"2018-03-22","2,479","7,754","3.32","26","1,273","142","7","18","854"
"2018-03-23","2,514","10,005","4.32","18","1,273","124","11","32","930"
"2018-03-24","2,340","3,875","1.75","8","1,260","180","0","0","763"
"2018-03-25","2,632","5,582","2.52","2","1,198","223","19","0","1,121"
"2018-03-26","3,394","19,006","8.49","27","1,112","188","47","93","1,982"
"2018-03-27","3,098","14,116","6.32","21","1,169","153","43","75","1,619"
"2018-03-28","2,930","13,578","6.1","14","1,191","167","21","61","1,406"
"2018-03-29","1,928","2,161","0.98","5","1,392","48","0","0","241"
"2018-03-30","1,897","1,595","0.72","5","1,404","36","0","0","192"
"2018-03-31","2,275","4,005","1.81","11","1,299","129","9","3","667"

