Body
Date,Weight,BMI,Fat
"2018-04-01","167.82","24.77","20.225"
"2018-04-02","167.81","24.77","20.225"
"2018-04-03","167.8","24.77","20.225"
"2018-04-04","167.79","24.77","20.225"
"2018-04-05","167.78","24.77","20.225"
"2018-04-06","167.77","24.76","20.225"
"2018-04-07","167.76","24.76","20.225"
"2018-04-08","167.74","24.76","20.225"
"2018-04-09","167.73","24.76","20.225"
"2018-04-10","167.72","24.76","20.225"
"2018-04-11","167.71","24.76","20.225"
"2018-04-12","167.7","24.75","20.225"
"2018-04-13","167.69","24.75","20.225"
"2018-04-14","167.68","24.75","20.225"
"2018-04-15","167.67","24.75","20.225"
"2018-04-16","167.66","24.75","20.225"
"2018-04-17","167.65","24.75","20.225"
"2018-04-18","167.63","24.74","20.225"
"2018-04-19","167.62","24.74","20.225"
"2018-04-20","167.61","24.74","20.225"
"2018-04-21","167.6","24.74","20.225"
"2018-04-22","167.59","24.74","20.225"
"2018-04-23","167.58","24.74","20.225"
"2018-04-24","167.57","24.73","20.225"
"2018-04-25","167.56","24.73","20.225"
"2018-04-26","167.55","24.73","20.225"
"2018-04-27","167.54","24.73","20.225"
"2018-04-28","167.52","24.73","20.225"
"2018-04-29","167.51","24.73","20.225"
"2018-04-30","167.5","24.72","20.225"

Activities
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"2018-04-01","2,114","3,004","1.36","5","1,340","100","0","0","443"
"2018-04-02","2,799","14,038","6.35","19","1,228","118","24","70","1,256"
"2018-04-03","2,140","4,009","1.81","13","1,341","99","0","0","486"
"2018-04-04","3,107","14,035","6.16","27","1,160","156","47","77","1,623"
"2018-04-05","3,254","16,004","7.23","27","1,103","238","28","71","1,820"
"2018-04-06","3,151","15,019","6.97","21","1,126","213","27","74","1,657"
"2018-04-07","2,881","10,088","4.77","22","1,214","175","12","39","1,351"
"2018-04-08","2,366","4,004","1.81","5","1,271","158","11","0","754"
"2018-04-09","3,054","15,019","6.78","39","1,158","217","15","50","1,541"
"2018-04-10","3,026","16,005","7.24","29","1,176","177","9","78","1,506"
"2018-04-11","2,883","14,003","6.33","25","1,189","184","17","50","1,366"
"2018-04-12","2,731","13,384","6.06","21","1,243","114","19","64","1,179"
"2018-04-13","2,052","3,115","1.47","12","1,369","71","0","0","353"
"2018-04-14","3,117","10,531","4.8","18","1,130","206","62","42","1,718"
"2018-04-15","1,999","1,030","0.39","0","1,380","31","20","9","323"
"2018-04-16","2,384","7,010","3.41","15","1,329","79","3","29","733"
"2018-04-17","3,038","15,010","6.79","41","1,181","203","16","40","1,484"
"2018-04-18","3,047","17,005","7.83","35","1,188","141","32","79","1,553"
"2018-04-19","3,005","15,312","6.96","28","1,178","183","34","45","1,490"
"2018-04-20","2,825","9,508","4.29","10","1,150","261","10","19","1,367"
"2018-04-21","2,108","4,206","1.9","33","1,360","37","32","11","463"
"2018-04-22","2,093","4,028","1.82","33","1,358","51","21","10","450"
"2018-04-23","3,309","19,016","8.59","28","1,136","172","34","98","1,810"
"2018-04-24","3,314","21,012","9.49","53","1,122","163","50","105","1,887"
"2018-04-25","3,159","19,010","8.59","22","1,145","175","31","89","1,718"
"2018-04-26","3,110","19,000","8.62","50","1,187","107","35","111","1,619"
"2018-04-27","2,258","4,633","2.09","15","1,319","103","3","15","589"
"2018-04-28","2,417","6,032","2.72","41","1,276","110","36","18","842"
"2018-04-29","2,449","5,637","2.56","7","1,269","149","3","19","796"
"2018-04-30","2,782","12,437","5.68","24","1,222","147","24","47","1,223"

