Body
Date,Weight,BMI,Fat
"2018-05-01","167.6","24.74","20.225"
"2018-05-02","167.59","24.74","20.225"
"2018-05-03","167.59","24.74","20.225"
"2018-05-04","167.58","24.74","20.225"
"2018-05-05","167.57","24.73","20.225"
"2018-05-06","167.56","24.73","20.225"
"2018-05-07","167.55","24.73","20.225"
"2018-05-08","167.54","24.73","20.225"
"2018-05-09","167.53","24.73","20.225"
"2018-05-10","167.52","24.73","20.225"
"2018-05-11","167.52","24.73","20.225"
"2018-05-12","167.51","24.73","20.225"
"2018-05-13","167.46","24.72","20.225"
"2018-05-14","167.62","24.74","20.199"
"2018-05-15","167.78","24.77","20.173"
"2018-05-16","167.93","24.79","20.147"
"2018-05-17","168.09","24.81","20.121"
"2018-05-18","168.25","24.84","20.095"
"2018-05-19","168.41","24.86","20.069"
"2018-05-20","168.57","24.88","20.043"
"2018-05-21","168.73","24.91","20.017"
"2018-05-22","168.89","24.93","19.991"
"2018-05-23","169.05","24.95","19.965"
"2018-05-24","169.2","24.98","19.939"
"2018-05-25","169.36","25","19.913"
"2018-05-26","169.52","25.02","19.887"
"2018-05-27","169.68","25.05","19.861"
"2018-05-28","169.84","25.07","19.835"
"2018-05-29","170","25.09","19.809"
"2018-05-30","170.16","25.12","19.783"
"2018-05-31","170.32","25.14","19.757"

Activities
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"2018-05-01","2,981","14,155","6.41","18","1,161","185","22","72","1,481"
"2018-05-02","2,212","4,336","1.96","17","1,333","93","3","11","550"
"2018-05-03","2,979","14,927","6.74","26","1,178","171","24","67","1,458"
"2018-05-04","2,674","11,776","5.33","27","1,256","118","19","47","1,077"
"2018-05-05","2,944","11,250","5.08","50","1,207","140","29","64","1,447"
"2018-05-06","2,686","9,560","4.47","5","1,218","159","13","50","1,164"
"2018-05-07","2,544","8,047","3.65","21","1,252","168","11","9","925"
"2018-05-08","2,649","8,030","3.63","23","1,218","200","10","12","1,032"
"2018-05-09","2,859","13,010","5.93","20","1,200","193","9","38","1,315"
"2018-05-10","2,736","11,003","5.32","10","1,243","156","10","31","1,170"
"2018-05-11","2,689","12,207","5.53","14","1,253","108","12","67","1,111"
"2018-05-12","2,238","5,075","2.33","8","1,318","100","3","19","584"
"2018-05-13","2,911","8,562","3.87","34","1,175","184","41","40","1,454"
"2018-05-14","2,669","9,074","4.1","14","1,231","186","4","19","1,052"
"2018-05-15","2,913","14,033","6.36","15","1,199","179","18","44","1,361"
"2018-05-16","2,961","12,007","5.42","37","1,162","174","69","35","1,499"
"2018-05-17","2,135","3,420","1.54","3","1,341","91","6","2","453"
"2018-05-18","2,769","11,168","5.07","42","1,216","140","49","35","1,235"
"2018-05-19","2,252","5,501","2.49","5","1,321","90","7","22","617"
"2018-05-20","2,829","10,019","4.53","53","1,196","162","39","43","1,317"
"2018-05-21","2,906","13,121","5.85","27","1,201","144","32","63","1,396"
"2018-05-22","2,682","11,005","5.03","16","1,249","123","21","47","1,094"
"2018-05-23","2,900","11,196","5.06","12","1,193","186","33","28","1,301"
"2018-05-24","3,891","26,202","11.84","34","951","315","79","95","2,634"
"2018-05-25","1,907","1,728","0.78","6","1,406","27","1","6","188"
"2018-05-26","2,819","10,281","4.64","19","1,169","237","20","14","1,283"
"2018-05-27","3,194","15,638","7.06","34","1,103","276","33","28","1,731"
"2018-05-28","3,170","15,079","6.81","39","1,125","216","48","51","1,699"
"2018-05-29","3,007","12,473","5.63","42","1,139","218","54","29","1,513"
"2018-05-30","3,092","13,949","6.32","17","1,130","250","26","34","1,597"
"2018-05-31","3,208","14,999","6.83","79","1,153","172","48","67","1,687"

