Body
Date,Weight,BMI,Fat
"2018-06-01","168.76","24.91","20.016"
"2018-06-02","168.82","24.92","20.005"
"2018-06-03","168.89","24.93","19.994"
"2018-06-04","168.96","24.94","19.983"
"2018-06-05","169.03","24.95","19.972"
"2018-06-06","169.1","24.96","19.961"
"2018-06-07","169.17","24.97","19.95"
"2018-06-08","169.24","24.98","19.939"
"2018-06-09","169.3","24.99","19.928"
"2018-06-10","169.37","25","19.917"
"2018-06-11","169.44","25.01","19.906"
"2018-06-12","169.51","25.02","19.895"
"2018-06-13","169.58","25.03","19.884"
"2018-06-14","169.65","25.04","19.873"
"2018-06-15","169.71","25.05","19.862"
"2018-06-16","169.78","25.06","19.851"
"2018-06-17","169.85","25.07","19.84"
"2018-06-18","169.92","25.08","19.829"
"2018-06-19","169.99","25.09","19.818"
"2018-06-20","170.06","25.1","19.807"
"2018-06-21","170.12","25.11","19.796"
"2018-06-22","170.19","25.12","19.785"
"2018-06-23","170.26","25.13","19.774"
"2018-06-24","170.33","25.14","19.763"
"2018-06-25","170.48","25.16","19.724"
"2018-06-26","169.57","25.03","19.844"
"2018-06-27","168.67","24.9","19.964"
"2018-06-28","170.46","25.16","20.215"
"2018-06-29","170.1","25.11","20.215"
"2018-06-30","169.75","25.06","20.215"

Activities
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"2018-06-01","3,966","25,810","11.69","78","1,008","219","76","137","2,646"
"2018-06-02","3,006","11,797","5.33","11","1,154","244","21","21","1,497"
"2018-06-03","2,750","6,441","2.93","2","1,220","198","9","13","1,076"
"2018-06-04","2,790","11,016","5.08","20","1,218","196","11","15","1,213"
"2018-06-05","2,704","11,005","4.99","36","1,234","119","58","29","1,167"
"2018-06-06","2,769","11,603","5.4","12","1,221","169","15","35","1,206"
"2018-06-07","2,756","12,653","5.72","16","1,230","137","31","42","1,219"
"2018-06-08","2,617","10,506","4.8","22","1,253","112","27","48","1,043"
"2018-06-09","2,295","4,816","2.18","5","1,309","113","9","9","660"
"2018-06-10","2,449","5,937","2.68","11","1,261","148","21","10","876"
"2018-06-11","2,645","10,004","4.52","24","1,242","138","24","36","1,059"
"2018-06-12","2,810","11,126","4.94","16","1,214","124","51","51","1,295"
"2018-06-13","2,949","15,214","6.89","27","1,203","136","32","69","1,418"
"2018-06-14","2,578","10,405","4.7","12","1,276","99","16","49","962"
"2018-06-15","2,335","5,017","2.27","6","1,304","126","8","2","659"
"2018-06-16","2,492","4,692","2.12","7","1,213","227","0","0","950"
"2018-06-17","2,812","7,353","3.32","61","1,292","59","17","72","1,228"
"2018-06-18","2,903","14,056","6.36","23","1,214","148","21","57","1,356"
"2018-06-19","2,483","10,266","4.69","11","1,296","88","12","44","887"
"2018-06-20","2,568","11,006","4.97","16","1,280","95","16","49","974"
"2018-06-21","2,772","13,013","5.89","10","1,233","146","31","30","1,222"
"2018-06-22","2,882","12,950","5.86","12","1,200","178","24","38","1,339"
"2018-06-23","2,972","12,093","5.46","21","1,157","183","46","54","1,531"
"2018-06-24","2,212","3,057","1.38","13","1,315","115","9","1","567"
"2018-06-25","2,743","12,314","5.58","14","1,236","139","18","47","1,183"
"2018-06-26","3,089","14,179","6.41","12","1,193","117","34","96","1,608"
"2018-06-27","2,961","15,427","6.98","20","1,195","127","34","84","1,454"
"2018-06-28","3,190","16,192","7.55","21","1,206","116","20","98","1,647"
"2018-06-29","3,021","9,633","4.35","41","1,166","202","35","37","1,487"
"2018-06-30","3,879","13,152","5.74","68","1,164","116","31","129","2,435"

