Body
Date,Weight,BMI,Fat
"2018-07-01","169.4","25","20.19"
"2018-07-02","169.4","25","20.261"
"2018-07-03","168.38","24.86","20.389"
"2018-07-04","168.38","24.86","20.393"
"2018-07-05","168.38","24.86","20.397"
"2018-07-06","168.38","24.86","20.402"
"2018-07-07","168.38","24.86","20.403"
"2018-07-08","168.38","24.86","20.404"
"2018-07-09","168.38","24.86","20.406"
"2018-07-10","167.88","24.78","20.371"
"2018-07-11","167.37","24.71","20.336"
"2018-07-12","164.86","24.33","20.349"
"2018-07-13","166.14","24.52","20.083"
"2018-07-14","166.53","24.58","20.156"
"2018-07-15","166.93","24.64","20.229"
"2018-07-16","167.33","24.7","20.304"
"2018-07-17","166.82","24.62","20.297"
"2018-07-18","167.02","24.65","20.273"
"2018-07-19","167.23","24.68","20.249"
"2018-07-20","167.43","24.71","20.225"
"2018-07-21","167.64","24.75","20.201"
"2018-07-22","167.84","24.78","20.177"
"2018-07-23","168.05","24.81","20.153"
"2018-07-24","168.25","24.84","20.129"
"2018-07-25","168.46","24.87","20.105"
"2018-07-26","168.67","24.9","20.073"
"2018-07-27","169.11","24.96","19.961"
"2018-07-28","169.55","25.03","19.849"
"2018-07-29","169.99","25.09","19.735"
"2018-07-30","169.99","25.09","19.735"
"2018-07-31","169.99","25.09","19.735"

Activities
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"2018-07-01","3,489","14,499","6.75","66","1,205","93","22","120","2,011"
"2018-07-02","2,477","8,556","3.87","6","1,271","119","27","23","897"
"2018-07-03","2,739","12,739","5.78","22","1,245","101","34","60","1,200"
"2018-07-04","2,458","4,544","1.98","22","1,340","53","2","45","819"
"2018-07-05","2,300","6,870","3.1","5","1,315","88","15","22","676"
"2018-07-06","3,483","19,007","8.79","16","1,160","85","66","129","2,040"
"2018-07-07","3,774","12,677","5.52","59","1,161","98","43","138","2,335"
"2018-07-08","3,368","10,005","4.2","50","1,216","91","10","123","1,865"
"2018-07-09","2,698","11,527","5.23","9","1,238","146","17","39","1,133"
"2018-07-10","3,183","12,300","5.42","17","1,224","107","13","96","1,673"
"2018-07-11","2,678","12,104","5.47","20","1,257","96","30","57","1,128"
"2018-07-12","2,676","11,058","5","9","1,219","166","10","45","1,153"
"2018-07-13","3,275","20,008","9.04","32","1,138","125","78","99","1,856"
"2018-07-14","2,171","3,633","1.64","4","1,317","97","23","3","524"
"2018-07-15","2,478","6,504","2.94","2","1,237","170","26","7","953"
"2018-07-16","2,840","13,372","6.04","17","1,219","147","23","51","1,309"
"2018-07-17","3,334","12,913","5.72","15","1,183","123","20","114","1,870"
"2018-07-18","2,660","11,160","5.04","16","1,247","124","25","44","1,103"
"2018-07-19","2,776","10,998","4.98","15","1,210","159","22","49","1,262"
"2018-07-20","3,138","17,550","7.94","28","1,172","130","47","91","1,657"
"2018-07-21","2,997","7,955","3.56","24","1,154","232","36","18","1,507"
"2018-07-22","2,712","9,345","4.22","12","1,207","182","20","31","1,187"
"2018-07-23","2,660","12,006","5.42","11","1,253","120","25","42","1,103"
"2018-07-24","3,259","12,002","5.29","12","1,200","95","38","107","1,785"
"2018-07-25","2,531","10,191","4.6","9","1,279","105","8","48","949"
"2018-07-26","3,058","15,650","7.17","23","1,217","92","38","93","1,546"
"2018-07-27","3,390","17,206","7.96","27","1,142","147","52","99","1,970"
"2018-07-28","2,986","6,838","3","12","1,140","260","22","18","1,446"
"2018-07-29","2,413","5,007","2.26","2","1,268","145","24","3","826"
"2018-07-30","3,491","18,507","8.53","23","1,151","108","52","129","2,070"
"2018-07-31","2,739","12,719","5.75","7","1,253","80","30","77","1,172"

